Live stream name,Number of products,Top 3 categories,Live stream time,Stream duration,Creator name,Revenue,Revenue per minute,Online viewers,Online viewers per minute,Views,Views per minute,Items sold,Items sold per minute,Average unit price
LIVE Big Deals!💕,21,"Beauty & Personal Care, Books, Magazines & Audio",08/29 16:58 ~ 08/29 19:16,2h 18m,simplymandys,$36.63k,N/A,60.26k,N/A,60.26k,N/A,1.2k,N/A,$30.63
BASEBALL RIPS!!,16,Sports & Outdoor,08/30 10:40 ~ 08/30 22:06,11h 25m,dappzdugout,$35.71k,N/A,17.82k,N/A,17.82k,N/A,385,N/A,$92.75
August Payday Deal!,49,"Textiles & Soft Furnishings, Home Supplies, Automotive & Motorcycle",08/23 10:03 ~ 08/28 05:17,115h 13m,sannyselected_us25,$35.64k,N/A,661.49k,N/A,661.49k,N/A,1.35k,N/A,$26.38
Oferta de verano,70,"Beauty & Personal Care, Health, Womenswear & Underwear",08/03 18:43 ~ 08/03 21:51,3h 8m,erikasantamaria99,$34.97k,N/A,51.92k,N/A,51.92k,N/A,1.6k,N/A,$21.81
Back to School,18,Toys & Hobbies,08/10 17:28 ~ 08/11 14:43,21h 15m,calipokehouse,$34.83k,N/A,114.9k,N/A,114.9k,N/A,540,N/A,$64.49
BEST SUMMER SALE!,1,Home Supplies,08/17 23:52 ~ 08/18 05:23,5h 30m,thatguynick23,$34.53k,N/A,174.98k,N/A,174.98k,N/A,557,N/A,$61.99
Back To School Clearance Sale🚨,15,Womenswear & Underwear,08/08 13:27 ~ 08/08 17:20,3h 52m,calicurvesfajas,$34.48k,N/A,42.08k,N/A,42.08k,N/A,439,N/A,$78.54
Hot deals SALES 💕❤,26,"Phones & Electronics, Household Appliances, Kitchenware",08/31 12:30 ~ 08/31 22:35,10h 5m,vibingout28,$34.39k,N/A,201.42k,N/A,201.42k,N/A,959,N/A,$35.86
Back to School,13,"Sports & Outdoor, Toys & Hobbies",08/10 23:12 ~ 08/11 05:38,6h 26m,theballersbank,$34.38k,N/A,27.72k,N/A,27.72k,N/A,103,N/A,$333.76
Pac deals LIVE 8/3,91,"Womenswear & Underwear, Shoes",08/03 15:00 ~ 08/03 19:54,4h 54m,pacsun,$34.35k,N/A,178.05k,N/A,178.05k,N/A,769,N/A,$44.66
TIKTOK SHOP,1,Home Supplies,08/08 14:41 ~ 08/08 17:51,3h 10m,yessoliver,$34.16k,N/A,48.82k,N/A,48.82k,N/A,551,N/A,$61.99
Big sale come and join us！,57,Sports & Outdoor,08/19 11:30 ~ 08/23 08:00,92h 30m,fitnessathome.official,$34.14k,N/A,1.25m,N/A,1.25m,N/A,422,N/A,$80.91
Ekko SALE!,13,"Health, Shoes, Menswear & Underwear",08/05 15:52 ~ 08/05 19:26,3h 34m,meadwalkout,$34.07k,N/A,31.91k,N/A,31.91k,N/A,1.12k,N/A,$30.50
70% off! SODAY Flash Sale,1,Kitchenware,08/15 13:03 ~ 08/15 20:05,7h 1m,soday.shop,$33.94k,N/A,107.78k,N/A,107.78k,N/A,397,N/A,$85.49
A lot of people are ordering..,14,Sports & Outdoor,08/15 06:02 ~ 08/16 00:12,18h 10m,merach.us,$33.90k,N/A,213.87k,N/A,213.87k,N/A,499,N/A,$67.94
Shop NEW with your fave 🛍️,93,"Womenswear & Underwear, Beauty & Personal Care, Shoes",08/03 11:39 ~ 08/03 17:08,5h 29m,katrinadimiele,$33.69k,N/A,75.33k,N/A,75.33k,N/A,3.05k,N/A,$11.06
Birthday Live + August Boxes,49,"Womenswear & Underwear, Beauty & Personal Care, Sports & Outdoor",08/21 17:20 ~ 08/22 02:06,8h 45m,calicurvesfajas,$33.62k,N/A,158.81k,N/A,158.81k,N/A,1.14k,N/A,$29.49
good vibes with Nate Dawg 🐶,92,"Sports & Outdoor, Phones & Electronics, Computers & Office Equipment",08/14 13:55 ~ 08/14 21:52,7h 56m,theballersbank,$33.53k,N/A,27.83k,N/A,27.83k,N/A,105,N/A,$319.36
Big sale come and join us！,17,Sports & Outdoor,08/08 23:45 ~ 08/09 07:33,7h 47m,fitnessathome.official,$33.31k,N/A,169.34k,N/A,169.34k,N/A,350,N/A,$95.18
Portable cooling fan summer sale,4,"Phones & Electronics, Household Appliances, Sports & Outdoor",08/07 19:31 ~ 08/09 10:07,38h 35m,automates44,$33.24k,N/A,200.1k,N/A,200.1k,N/A,1.77k,N/A,$18.81
Big sale come and join us！,57,Sports & Outdoor,08/14 10:00 ~ 08/16 05:25,43h 25m,fitnessathome.official,$33.06k,N/A,603.84k,N/A,603.84k,N/A,397,N/A,$83.27
Big sale! Come in and join us!,63,Sports & Outdoor,08/29 11:44 ~ 09/01 05:00,65h 15m,fitnessathome.official,$32.78k,N/A,884.11k,N/A,884.11k,N/A,439,N/A,$74.68
nate dawg 🐶,85,"Sports & Outdoor, Toys & Hobbies",08/28 13:35 ~ 08/28 20:47,7h 12m,theballersbank,$32.63k,N/A,44.86k,N/A,44.86k,N/A,97,N/A,$336.37
🔥POKEMON RIPS🔥,27,Toys & Hobbies,08/26 12:02 ~ 08/26 17:17,5h 15m,ipoketcg,$32.47k,N/A,20.12k,N/A,20.12k,N/A,108,N/A,$300.63
Gimbal 50% off summer sales,20,Phones & Electronics,08/03 07:07 ~ 08/04 00:55,17h 48m,wellnesswizards4,$32.37k,N/A,462.94k,N/A,462.94k,N/A,3.15k,N/A,$10.28
Tuesday With FeelinGirl!🛍️💕,29,"Womenswear & Underwear, Sports & Outdoor",08/13 10:10 ~ 08/14 01:37,15h 26m,feelingirlofficial,$32.20k,N/A,133.83k,N/A,133.83k,N/A,1.32k,N/A,$24.36
Chef fero,83,"Sports & Outdoor, Toys & Hobbies",08/26 21:45 ~ 08/27 05:06,7h 20m,theballersbank,$32.08k,N/A,26.38k,N/A,26.38k,N/A,132,N/A,$243.00
LIVE Big Deals!💕,18,"Beauty & Personal Care, Books, Magazines & Audio",08/26 17:28 ~ 08/26 19:40,2h 12m,simplymandys,$31.98k,N/A,61.17k,N/A,61.17k,N/A,1.22k,N/A,$26.17
Welcome to my LIVE,4,Kitchenware,08/17 13:03 ~ 08/17 21:06,8h 3m,soday.shop,$31.94k,N/A,199.43k,N/A,199.43k,N/A,374,N/A,$85.41
Deals deals deals💕,12,"Books, Magazines & Audio, Beauty & Personal Care",08/05 17:23 ~ 08/05 19:06,1h 42m,simplymandys,$31.84k,N/A,50.66k,N/A,50.66k,N/A,963,N/A,$33.07
Firecracker Liquid IV Hydration,36,"Food & Beverages, Health",08/31 02:04 ~ 08/31 08:40,6h 35m,trippingaroundlife,$31.79k,N/A,65.64k,N/A,65.64k,N/A,911,N/A,$34.89
En vivo desde Tiktok! 🥳,13,"Food & Beverages, Beauty & Personal Care, Health",08/06 15:30 ~ 08/07 00:00,8h 29m,daisycabral_,$31.68k,N/A,468.4k,N/A,468.4k,N/A,2.32k,N/A,$13.68
few pcs left..,13,Sports & Outdoor,08/03 06:02 ~ 08/03 23:02,17h,merach.us,$31.68k,N/A,213.86k,N/A,213.86k,N/A,451,N/A,$70.24
Live,31,-,08/26 19:35 ~ 08/27 01:17,5h 42m,huntbreaks,$31.25k,N/A,20.71k,N/A,20.71k,N/A,25,N/A,$1.25k
COUNTRY CUTIE ROMPER! 🤠🤭✨,65,Womenswear & Underwear,08/22 11:11 ~ 08/22 17:01,5h 50m,shopwhiskeydarling,$31.14k,N/A,62.62k,N/A,62.62k,N/A,646,N/A,$48.20
LIVE Big Deals!💕,18,"Beauty & Personal Care, Books, Magazines & Audio",08/27 17:08 ~ 08/27 19:15,2h 7m,simplymandys,$31.08k,N/A,59.81k,N/A,59.81k,N/A,1.29k,N/A,$24.10
BEST FURNITURE SUMMER SALE!,1,Home Supplies,08/19 23:10 ~ 08/20 03:14,4h 3m,thatguynick23,$31.06k,N/A,144.54k,N/A,144.54k,N/A,501,N/A,$61.99
Merach X Mega Live Sale Day,14,Sports & Outdoor,08/09 23:59 ~ 08/13 03:10,75h 10m,merach.us,$30.85k,N/A,1.08m,N/A,1.08m,N/A,446,N/A,$69.17
Calling All Cat Owners!,2,Pet Supplies,08/10 14:17 ~ 08/10 16:40,2h 22m,chrishasdeals,$30.81k,N/A,44.17k,N/A,44.17k,N/A,102,N/A,$302.04
Deals For You Days: Extended,15,"Womenswear & Underwear, Health, Fashion Accessories",08/06 12:00 ~ 08/06 15:05,3h 5m,shopbluewaters,$30.77k,N/A,38.89k,N/A,38.89k,N/A,1.08k,N/A,$28.47
Gimbal 50% off summer sales,15,Phones & Electronics,08/04 07:09 ~ 08/05 01:02,17h 52m,wellnesswizards4,$30.54k,N/A,382.94k,N/A,382.94k,N/A,2.05k,N/A,$14.91
Ekko SALE!,11,"Health, Shoes, Menswear & Underwear",08/05 23:40 ~ 08/06 01:20,1h 40m,meadwalkout,$30.51k,N/A,22.55k,N/A,22.55k,N/A,936,N/A,$32.60
few pcs left..,13,Sports & Outdoor,08/04 08:00 ~ 08/05 02:09,18h 9m,merach.us,$30.17k,N/A,294.15k,N/A,294.15k,N/A,432,N/A,$69.84
SODAY special discount‼️,1,Kitchenware,08/29 13:35 ~ 08/29 19:38,6h 3m,soday.shop,$29.83k,N/A,84.7k,N/A,84.7k,N/A,341,N/A,$87.48
NATE AND MOOCH SHOW 🔥🍿,81,"Toys & Hobbies, Sports & Outdoor",08/27 13:55 ~ 08/27 21:18,7h 22m,theballersbank,$29.70k,N/A,23.06k,N/A,23.06k,N/A,160,N/A,$185.59
Massage and heated recliner!,2,Home Supplies,08/06 21:27 ~ 08/06 22:54,1h 26m,workingmama40,$29.11k,N/A,45.14k,N/A,45.14k,N/A,275,N/A,$105.86
LIVE Big Deals!💕,13,"Books, Magazines & Audio, Beauty & Personal Care",08/28 22:32 ~ 08/29 00:11,1h 38m,simplymandys,$29.08k,N/A,61.02k,N/A,61.02k,N/A,910,N/A,$31.96
Beachwaver!!,6,Beauty & Personal Care,08/24 07:41 ~ 08/24 08:59,1h 18m,scottsmommy,$28.81k,N/A,49.67k,N/A,49.67k,N/A,291,N/A,$99.00
Live with Jill 💋,87,"Beauty & Personal Care, Food & Beverages",08/30 18:00 ~ 08/30 22:01,4h 1m,aroma_concepts_fl,$28.69k,N/A,23.13k,N/A,23.13k,N/A,993,N/A,$28.89
COWSAR Nugget Ice Maker Countert,15,"Sports & Outdoor, Automotive & Motorcycle, Furniture",08/08 07:50 ~ 08/08 21:17,13h 26m,meat.guy.out,$28.69k,N/A,56.31k,N/A,56.31k,N/A,367,N/A,$78.17
Back to School,16,Sports & Outdoor,08/08 22:18 ~ 08/09 08:28,10h 9m,theballersbank,$28.60k,N/A,31.18k,N/A,31.18k,N/A,166,N/A,$172.27
Perfumes Árabes Karen,111,"Beauty & Personal Care, Health",08/27 18:07 ~ 08/28 00:52,6h 44m,karencolon0,$28.56k,N/A,43.37k,N/A,43.37k,N/A,837,N/A,$34.12
Lack of energyPoor sleep quality,11,"Health, Food & Beverages",08/16 10:55 ~ 08/16 12:56,2h 1m,trainoliver,$28.50k,N/A,25.38k,N/A,25.38k,N/A,528,N/A,$53.99
