Live stream name,Number of products,Top 3 categories,Live stream time,Stream duration,Creator name,Revenue,Revenue per minute,Online viewers,Online viewers per minute,Views,Views per minute,Items sold,Items sold per minute,Average unit price
Celebrity Works Cash Register,35,"Beauty & Personal Care, Home Supplies, Luggage & Bags",08/05 12:04 ~ 08/05 14:59,2h 55m,jeffreestar,$24.73k,N/A,250.49k,N/A,250.49k,N/A,720,N/A,$34.35
Ferrochini Mondays 🤌,11,"Toys & Hobbies, Sports & Outdoor, Computers & Office Equipment",08/12 22:12 ~ 08/13 04:37,6h 24m,theballersbank,$24.64k,N/A,26.5k,N/A,26.5k,N/A,138,N/A,$178.55
⚠️FLASH SALE ELECTRIC SPIN BRUSH,1,Household Appliances,08/31 13:50 ~ 08/31 15:17,1h 26m,areviews.co,$24.63k,N/A,27.8k,N/A,27.8k,N/A,95,N/A,$259.24
labor day-SS,21,Sports & Outdoor,09/01 08:00 ~ 09/02 00:55,16h 55m,merach.us,$24.59k,N/A,102.14k,N/A,102.14k,N/A,447,N/A,$55.00
DBO & JALEN SHOW,83,"Toys & Hobbies, Sports & Outdoor",08/28 23:26 ~ 08/29 06:41,7h 14m,theballersbank,$24.57k,N/A,33.23k,N/A,33.23k,N/A,117,N/A,$210.04
COWSAR Nugget Ice Maker Countert,99,"Furniture, Health, Kitchenware",08/23 07:50 ~ 08/23 21:55,14h 5m,meat.guy.out,$24.57k,N/A,39.66k,N/A,39.66k,N/A,317,N/A,$77.51
Pacsun Labor Day Sale,55,Womenswear & Underwear,08/30 15:00 ~ 08/30 22:01,7h,pacsun,$24.40k,N/A,116.69k,N/A,116.69k,N/A,515,N/A,$47.38
UNREAL ICE-MAKER DEAL!,4,Household Appliances,08/09 20:09 ~ 08/10 01:39,5h 30m,coltomn,$24.38k,N/A,204.42k,N/A,204.42k,N/A,252,N/A,$96.73
Get Gorgeous Hair w/ Wavytalk,10,Beauty & Personal Care,08/06 15:59 ~ 08/06 20:03,4h 4m,wavytalkofficial,$24.31k,N/A,76.47k,N/A,76.47k,N/A,689,N/A,$35.28
Wow!🤩 So many giveaways!,27,"Health, Food & Beverages",08/23 16:00 ~ 08/23 20:31,4h 31m,microingredients,$24.26k,N/A,38.7k,N/A,38.7k,N/A,644,N/A,$37.66
Ferrochini is LIVE,81,"Toys & Hobbies, Sports & Outdoor",08/27 22:09 ~ 08/28 04:33,6h 24m,theballersbank,$24.23k,N/A,25.97k,N/A,25.97k,N/A,109,N/A,$222.34
Walking Pad/Treadmill,3,Sports & Outdoor,09/01 14:36 ~ 09/01 16:09,1h 32m,kylene_rae,$24.19k,N/A,67.6k,N/A,67.6k,N/A,199,N/A,$121.57
🛍️ ✨ SHOP FOR DEALS✨🛍️,92,"Furniture, Beauty & Personal Care, Phones & Electronics",08/23 18:54 ~ 08/24 01:08,6h 14m,tatyanna_lifestyle,$24.19k,N/A,46.94k,N/A,46.94k,N/A,662,N/A,$36.53
Hot deals SALES 💕❤,26,"Phones & Electronics, Household Appliances",08/15 12:30 ~ 08/15 22:30,10h,vibingout28,$24.18k,N/A,95.87k,N/A,95.87k,N/A,725,N/A,$33.36
Ekkovision Discounts,8,"Health, Shoes, Sports & Outdoor",08/05 23:18 ~ 08/06 01:16,1h 57m,jeffgrahammma,$24.09k,N/A,3.58k,N/A,3.58k,N/A,966,N/A,$24.94
Back to School,15,"Beauty & Personal Care, Kitchenware",08/10 09:59 ~ 08/10 14:16,4h 17m,peanut_body_store,$24.06k,N/A,41.02k,N/A,41.02k,N/A,826,N/A,$29.12
HUGE FLASH SALE,1,Home Supplies,08/18 18:32 ~ 08/18 23:07,4h 34m,ravenbenjamin20,$24.05k,N/A,124.16k,N/A,124.16k,N/A,388,N/A,$61.99
A lot of people are ordering..,13,Sports & Outdoor,08/14 11:26 ~ 08/15 01:10,13h 44m,merach.us,$24.01k,N/A,167.18k,N/A,167.18k,N/A,352,N/A,$68.20
Pushing ranks!,2,Home Supplies,08/10 15:25 ~ 08/10 16:43,1h 18m,sexylexiii___69,$24.00k,N/A,5.25k,N/A,5.25k,N/A,3.83k,N/A,$6.26
Back to School,16,"Kitchenware, Health, Beauty & Personal Care",08/28 13:59 ~ 08/28 16:04,2h 4m,tiktoken_ton,$24.00k,N/A,110.82k,N/A,110.82k,N/A,1.11k,N/A,$21.70
@Halara mentioned you in a live,24,"Sports & Outdoor, Womenswear & Underwear",08/20 21:00 ~ 08/21 00:00,3h,halara.us.live,$23.95k,N/A,42.37k,N/A,42.37k,N/A,852,N/A,$28.11
Back to school,9,Phones & Electronics,08/15 20:01 ~ 08/16 13:03,17h 1m,top.music_electronics,$23.91k,N/A,76.57k,N/A,76.57k,N/A,1.7k,N/A,$14.05
Back to School,15,"Womenswear & Underwear, Sports & Outdoor",08/09 13:00 ~ 08/09 20:55,7h 55m,oqqsports,$23.72k,N/A,98.68k,N/A,98.68k,N/A,791,N/A,$29.99
Exclusive price only for lives,5,Sports & Outdoor,08/31 08:30 ~ 09/01 02:30,18h,deerrunofficial,$23.48k,N/A,214.28k,N/A,214.28k,N/A,173,N/A,$135.71
BEST REPACKS ON TIKTOK!,2,Sports & Outdoor,08/31 20:53 ~ 09/01 03:28,6h 34m,katocardsllc,$23.33k,N/A,3.53k,N/A,3.53k,N/A,159,N/A,$146.75
Deals deals deals💕,18,"Beauty & Personal Care, Books, Magazines & Audio",08/14 16:59 ~ 08/14 19:48,2h 48m,simplymandys,$23.32k,N/A,63.3k,N/A,63.3k,N/A,1.03k,N/A,$22.55
Gimbal 50% off August sales,20,Phones & Electronics,08/31 07:04 ~ 09/01 01:02,17h 57m,wellnesswizards4,$23.29k,N/A,435.08k,N/A,435.08k,N/A,1.17k,N/A,$19.98
ferrochini tuesdays,89,"Sports & Outdoor, Computers & Office Equipment",08/20 12:57 ~ 08/20 19:49,6h 52m,theballersbank,$23.09k,N/A,26.35k,N/A,26.35k,N/A,72,N/A,$320.74
STORMI’s check in!,2,Beauty & Personal Care,08/17 20:19 ~ 08/17 21:03,44m,iamstormisteele,$23.08k,N/A,82.91k,N/A,82.91k,N/A,1.03k,N/A,$22.50
Perfumes Árabes Karen,28,"Beauty & Personal Care, Sports & Outdoor",08/10 18:37 ~ 08/11 01:16,6h 39m,karencolon0,$23.06k,N/A,20.84k,N/A,20.84k,N/A,594,N/A,$38.83
Trying the retro TV game stick,3,"Furniture, Home Improvement, Phones & Electronics",08/22 19:56 ~ 08/23 00:32,4h 35m,mrcaseyy9,$23.04k,N/A,63.95k,N/A,63.95k,N/A,330,N/A,$69.83
Back to School,15,"Sports & Outdoor, Womenswear & Underwear",08/10 20:45 ~ 08/10 23:00,2h 15m,halara.us.live,$22.91k,N/A,53.97k,N/A,53.97k,N/A,769,N/A,$29.79
MaryRuth’s New Arrivals Sales!,9,"Health, Kitchenware",08/03 18:00 ~ 08/03 23:59,5h 59m,maryruthorganics,$22.83k,N/A,108.13k,N/A,108.13k,N/A,749,N/A,$30.47
