category_name,category_level,category_change_in_revenue_Yesterday,category_no_of_shops_Yesterday,category_revenue_growth_rate_Yesterday,category_avg_revenue_per_shop_Yesterday,category_top_3_shops_revenue_ratio_Yesterday,category_top_10_shops_revenue_ratio_Yesterday,category_soa_revenue_share_Yesterday,category_aff_revenue_share_Yesterday,category_mall_revenue_share_Yesterday,category_change_in_revenue_Last_7_Days,category_no_of_shops_Last_7_Days,category_revenue_growth_rate_Last_7_Days,category_avg_revenue_per_shop_Last_7_Days,category_top_3_shops_revenue_ratio_Last_7_Days,category_top_10_shops_revenue_ratio_Last_7_Days,category_soa_revenue_share_Last_7_Days,category_aff_revenue_share_Last_7_Days,category_mall_revenue_share_Last_7_Days,category_change_in_revenue_Last_30_Days,category_no_of_shops_Last_30_Days,category_revenue_growth_rate_Last_30_Days,category_avg_revenue_per_shop_Last_30_Days,category_top_3_shops_revenue_ratio_Last_30_Days,category_top_10_shops_revenue_ratio_Last_30_Days,category_soa_revenue_share_Last_30_Days,category_aff_revenue_share_Last_30_Days,category_mall_revenue_share_Last_30_Days,category_change_in_revenue_Last_90_Days,category_no_of_shops_Last_90_Days,category_revenue_growth_rate_Last_90_Days,category_avg_revenue_per_shop_Last_90_Days,category_top_3_shops_revenue_ratio_Last_90_Days,category_top_10_shops_revenue_ratio_Last_90_Days,category_soa_revenue_share_Last_90_Days,category_aff_revenue_share_Last_90_Days,category_mall_revenue_share_Last_90_Days,category_change_in_revenue_Last_180_Days,category_no_of_shops_Last_180_Days,category_revenue_growth_rate_Last_180_Days,category_avg_revenue_per_shop_Last_180_Days,category_top_3_shops_revenue_ratio_Last_180_Days,category_top_10_shops_revenue_ratio_Last_180_Days,category_soa_revenue_share_Last_180_Days,category_aff_revenue_share_Last_180_Days,category_mall_revenue_share_Last_180_Days
Personal Care Appliances,L2,18%,272,0.00%,$1.64k,50.46%,68.13%,(6.18%),(89.56%),(4.26%),19%,355,-17.19%,$11.45k,48.10%,67.17%,(3.7%),(90.97%),(5.34%),19%,481,-4.22%,$41.02k,44.78%,66.28%,(4.23%),(90.08%),(5.62%),17%,816,2.89%,$68.99k,38.88%,59.00%,(3.95%),(85.5%),(9.64%),16%,1376,32.73%,$71.73k,34.63%,56.10%,(3.73%),(83.23%),(12.36%)
Fashion Accessories,L1,4%,1374,0.00%,$376.64,13.98%,30.58%,(21.84%),(60.86%),(17.31%),4%,1806,-22.62%,$2.24k,12.01%,27.83%,(19.06%),(60.92%),(20.02%),4%,2356,-16.86%,$8.14k,13.75%,27.96%,(17.57%),(61.19%),(21.17%),4%,3521,-2.34%,$16.90k,12.98%,26.53%,(15.1%),(56.47%),(28.14%),4%,5584,10.13%,$20.33k,13.82%,27.94%,(14.92%),(55.12%),(29.75%)
Household Appliances,L1,4%,310,0.00%,$1.62k,34.96%,61.48%,(3.32%),(92.32%),(4.36%),6%,457,-12.92%,$12.47k,42.27%,65.11%,(3.01%),(90.71%),(6.28%),4%,643,-0.97%,$29.33k,22.79%,52.29%,(3.86%),(87.96%),(7.84%),4%,1123,-28.96%,$58.27k,20.74%,45.45%,(1.94%),(84.69%),(11.99%),4%,1734,22.62%,$68.52k,19.27%,40.37%,(1.5%),(84.36%),(12.94%)
Women's Underwear,L2,27%,363,0.00%,$1.27k,40.54%,64.19%,(8.07%),(82.49%),(9.44%),27%,475,-16.19%,$7.97k,35.46%,64.55%,(8.24%),(81.24%),(10.52%),27%,593,-16.11%,$30.98k,37.37%,62.67%,(8.1%),(82.4%),(9.46%),25%,864,13.62%,$63.11k,37.74%,62.02%,(6.77%),(76.98%),(15.71%),22%,1445,121.70%,$54.75k,32.81%,58.03%,(7.35%),(70.93%),(21.32%)
Menswear & Underwear,L1,3%,770,0.00%,$529.39,14.52%,39.29%,(8.36%),(77.28%),(14.36%),3%,1122,-16.03%,$2.91k,16.06%,37.72%,(7.67%),(76.75%),(15.58%),3%,1675,-18.25%,$9.51k,18.33%,37.19%,(7.03%),(75.66%),(17.27%),3%,2584,-5.12%,$19.82k,16.57%,32.63%,(5.77%),(65.84%),(28.09%),3%,4127,52.06%,$20.58k,12.44%,28.16%,(6.82%),(58.8%),(34.17%)
Fitness Supplements,L3,48%,139,0.00%,$3.94k,48.74%,76.51%,(5.1%),(91.19%),(3.71%),42%,190,3.84%,$17.00k,44.13%,71.71%,(5.69%),(88.67%),(5.64%),39%,248,-7.99%,$63.87k,40.45%,69.98%,(5.51%),(87.96%),(6.36%),36%,438,5.23%,$104.52k,31.94%,63.51%,(5.38%),(76.92%),(15.88%),37%,762,0.85%,$119.65k,30.02%,63.14%,(6.49%),(77.33%),(15.02%)
Food & Beverages,L1,4%,463,0.00%,$997.63,24.55%,47.04%,(22.8%),(69.98%),(7.22%),4%,676,-11.71%,$5.21k,23.87%,46.33%,(15.89%),(74.51%),(9.61%),3%,987,-9.41%,$15.40k,22.88%,41.61%,(16.73%),(73.05%),(10.03%),3%,1725,-14.29%,$30.01k,22.46%,39.59%,(13.4%),(69.01%),(16.41%),4%,N/A,N/A,N/A,N/A,N/A,(13.4%),(69.01%),(16.41%)
Women's Bottoms,L2,19%,387,0.00%,$853.17,39.80%,63.80%,(9.88%),(81.59%),(8.53%),19%,523,-15.15%,$5.20k,34.09%,61.72%,(13.54%),(74.54%),(11.93%),19%,665,-10.22%,$19.74k,30.22%,60.51%,(12.43%),(74.25%),(13.28%),19%,993,-0.53%,$41.65k,26.82%,57.86%,(12.17%),(66.03%),(21.39%),19%,1590,53.59%,$42.94k,23.50%,52.67%,(13.35%),(57.6%),(28.78%)
Sport & Outdoor Clothing,L2,41%,517,0.00%,$662.02,37.14%,60.04%,(3.95%),(81.13%),(14.93%),41%,746,-10.73%,$3.42k,39.59%,59.75%,(5.68%),(81.4%),(12.92%),40%,1121,-13.92%,$11.08k,34.76%,56.19%,(8.43%),(78.41%),(13.12%),39%,1829,-14.59%,$23.01k,27.59%,49.33%,(7.29%),(73.8%),(18.55%),45%,2420,-4.30%,$35.56k,31.63%,48.94%,(7.66%),(73.6%),(18.52%)
Home Appliances,L2,66%,208,0.00%,$1.58k,49.24%,72.20%,(3.03%),(92.02%),(4.94%),67%,303,-23.87%,$12.55k,58.06%,75.51%,(2.81%),(89.99%),(7.2%),66%,442,2.52%,$28.08k,34.63%,61.86%,(4.08%),(86.96%),(8.81%),66%,769,-27.43%,$56.02k,24.83%,51.11%,(2.11%),(82.7%),(13.91%),68%,1188,14.16%,$68.02k,22.62%,46.66%,(1.65%),(83.14%),(13.97%)
