category_name,category_level,category_change_in_revenue_Yesterday,category_no_of_shops_Yesterday,category_revenue_growth_rate_Yesterday,category_avg_revenue_per_shop_Yesterday,category_top_3_shops_revenue_ratio_Yesterday,category_top_10_shops_revenue_ratio_Yesterday,category_soa_revenue_share_Yesterday,category_aff_revenue_share_Yesterday,category_mall_revenue_share_Yesterday,category_change_in_revenue_Last_7_Days,category_no_of_shops_Last_7_Days,category_revenue_growth_rate_Last_7_Days,category_avg_revenue_per_shop_Last_7_Days,category_top_3_shops_revenue_ratio_Last_7_Days,category_top_10_shops_revenue_ratio_Last_7_Days,category_soa_revenue_share_Last_7_Days,category_aff_revenue_share_Last_7_Days,category_mall_revenue_share_Last_7_Days,category_change_in_revenue_Last_30_Days,category_no_of_shops_Last_30_Days,category_revenue_growth_rate_Last_30_Days,category_avg_revenue_per_shop_Last_30_Days,category_top_3_shops_revenue_ratio_Last_30_Days,category_top_10_shops_revenue_ratio_Last_30_Days,category_soa_revenue_share_Last_30_Days,category_aff_revenue_share_Last_30_Days,category_mall_revenue_share_Last_30_Days,category_change_in_revenue_Last_90_Days,category_no_of_shops_Last_90_Days,category_revenue_growth_rate_Last_90_Days,category_avg_revenue_per_shop_Last_90_Days,category_top_3_shops_revenue_ratio_Last_90_Days,category_top_10_shops_revenue_ratio_Last_90_Days,category_soa_revenue_share_Last_90_Days,category_aff_revenue_share_Last_90_Days,category_mall_revenue_share_Last_90_Days,category_change_in_revenue_Last_180_Days,category_no_of_shops_Last_180_Days,category_revenue_growth_rate_Last_180_Days,category_avg_revenue_per_shop_Last_180_Days,category_top_3_shops_revenue_ratio_Last_180_Days,category_top_10_shops_revenue_ratio_Last_180_Days,category_soa_revenue_share_Last_180_Days,category_aff_revenue_share_Last_180_Days,category_mall_revenue_share_Last_180_Days
Indoor Furniture,L2,92%,97,0.00%,$1.94k,33.51%,70.12%,(6.02%),(86.78%),(7.2%),90%,150,-12.69%,$9.97k,29.93%,63.86%,(3.61%),(83.68%),(12.7%),87%,240,-32.37%,$32.88k,31.15%,64.29%,(3.43%),(84.6%),(11.83%),89%,471,-23.03%,$55.21k,29.96%,62.01%,(2.16%),(77.26%),(18.41%),94%,763,-11.53%,$72.61k,35.66%,60.96%,(1.48%),(74.43%),(22.9%)
Audio & Video,L2,27%,250,0.00%,$724.58,45.36%,66.62%,(3.44%),(86.48%),(10.08%),28%,356,-20.68%,$3.91k,37.85%,64.92%,(2.63%),(85.61%),(11.76%),31%,565,-39.15%,$13.81k,37.22%,66.28%,(5.58%),(84.51%),(9.85%),27%,1021,-4.21%,$24.97k,25.20%,51.23%,(4.5%),(78.54%),(15.62%),28%,1525,7.82%,$32.23k,26.58%,49.85%,(3.1%),(79.09%),(16.24%)
Toys & Hobbies,L1,2%,490,0.00%,$404.78,12.59%,32.68%,(33.87%),(51.83%),(14.3%),2%,758,-13.45%,$1.93k,14.45%,32.12%,(34.52%),(50.08%),(15.39%),2%,1125,-30.59%,$6.67k,11.16%,29.00%,(33.09%),(46.75%),(19.99%),2%,1779,-13.99%,$15.90k,14.16%,31.43%,(27.16%),(45.84%),(26.56%),2%,2684,72.76%,$16.64k,12.14%,27.90%,(23.02%),(49.15%),(27.3%)
Fitness Machines,L3,73%,47,0.00%,$3.82k,49.66%,84.61%,(22.76%),(73.94%),(3.3%),77%,60,-18.52%,$24.40k,45.10%,83.07%,(22.64%),(73.36%),(4%),81%,77,-22.22%,$94.07k,51.86%,83.15%,(21.76%),(73.62%),(4.53%),84%,132,-30.57%,$199.19k,55.28%,83.85%,(9.66%),(76.39%),(12.71%),84%,253,56.15%,$170.48k,51.19%,80.14%,(6.05%),(76.38%),(16.68%)
Bath & Body Care,L2,8%,299,0.00%,$645.71,28.77%,52.23%,(20.54%),(57.57%),(21.89%),7%,438,-21.70%,$3.28k,22.70%,44.22%,(14.12%),(64.96%),(20.91%),7%,623,-11.89%,$11.12k,24.10%,45.44%,(14.63%),(68.32%),(17%),7%,1191,-13.83%,$19.54k,26.21%,45.66%,(13.94%),(61.92%),(23.41%),8%,1959,-15.19%,$25.88k,25.87%,43.88%,(9.94%),(66.85%),(22.62%)
Shoes,L1,1%,478,0.00%,$328.10,20.11%,39.10%,(8.12%),(76.19%),(15.69%),1%,649,-10.54%,$2.00k,15.06%,37.74%,(6.44%),(77.06%),(16.49%),1%,819,-17.58%,$8.02k,12.85%,34.08%,(7.57%),(74.78%),(17.54%),1%,1268,-4.83%,$16.98k,12.16%,31.22%,(5.79%),(66.34%),(27.34%),1%,1773,24.76%,$21.88k,13.72%,28.83%,(5.11%),(63.47%),(31.04%)
Shapewear,L3,50%,96,0.00%,$1.79k,52.45%,82.21%,(13.89%),(73.98%),(12.13%),49%,117,-20.84%,$12.83k,45.08%,84.33%,(15.78%),(70.52%),(13.7%),48%,143,-11.53%,$45.80k,47.71%,83.34%,(16.34%),(72.32%),(11.31%),49%,225,5.54%,$86.35k,48.55%,83.36%,(12.69%),(68.96%),(17.67%),49%,417,82.59%,$72.11k,46.02%,79.82%,(12.73%),(66.68%),(20.15%)
Pet Supplies,L1,1%,365,0.00%,$465.22,29.78%,54.28%,(7.58%),(78.96%),(13.46%),2%,523,-11.62%,$2.97k,38.27%,62.37%,(4.3%),(84.52%),(11.18%),1%,776,-13.26%,$8.35k,36.74%,55.69%,(4.11%),(82.95%),(12.79%),1%,1311,-4.00%,$16.03k,29.12%,48.86%,(3.04%),(77.03%),(17.9%),1%,2150,45.74%,$16.48k,24.20%,46.72%,(2.76%),(72.95%),(22.96%)
Storage Boxes & Bins,L3,66%,203,0.00%,$417.97,65.65%,79.87%,(4.49%),(86.62%),(8.89%),75%,299,-5.03%,$2.96k,71.06%,83.15%,(3.74%),(87.95%),(8.31%),80%,414,-59.32%,$14.78k,79.04%,86.76%,(3.5%),(89.5%),(6.78%),75%,720,83.47%,$17.90k,68.45%,80.41%,(2.72%),(83.69%),(12.96%),70%,1616,163.51%,$11.00k,52.07%,66.02%,(2.53%),(74.44%),(22.54%)
Bodysuits,L3,26%,216,0.00%,$780.68,56.49%,78.24%,(4.41%),(79.03%),(16.56%),22%,302,-1.79%,$4.02k,50.81%,75.65%,(6.32%),(80.16%),(13.53%),25%,373,-21.12%,$16.39k,53.77%,75.21%,(6.82%),(82.35%),(10.81%),28%,596,-18.97%,$36.71k,58.20%,75.10%,(6.87%),(78.26%),(14.49%),29%,1103,14.70%,$37.13k,58.09%,75.11%,(7.68%),(76.65%),(15.4%)
Home Improvement,L1,1%,368,0.00%,$391.76,26.20%,44.37%,(6.15%),(82.45%),(11.41%),1%,552,-13.59%,$2.22k,26.24%,44.22%,(5.98%),(82.11%),(11.91%),1%,787,-19.08%,$7.57k,28.34%,46.06%,(4.91%),(80.23%),(14.83%),1%,1339,-17.16%,$15.06k,28.31%,41.34%,(3.78%),(73.58%),(22.23%),1%,2479,7.72%,$15.68k,23.07%,36.67%,(3.32%),(69.86%),(26.49%)
T-shirts,L3,21%,564,0.00%,$245.15,17.60%,35.29%,(9.11%),(71.44%),(19.45%),22%,842,-18.69%,$1.40k,20.34%,37.05%,(7.59%),(72.7%),(19.71%),23%,1181,-26.93%,$4.84k,12.21%,27.73%,(8.83%),(67.21%),(23.86%),27%,1808,-14.44%,$11.57k,9.72%,23.38%,(8.26%),(60.12%),(31.26%),29%,3076,5.00%,$13.28k,12.97%,23.46%,(9.69%),(55.28%),(34.77%)
Home Fragrance,L3,54%,41,0.00%,$3.00k,96.89%,98.91%,(0.75%),(91.14%),(8.11%),56%,55,-15.27%,$18.46k,96.11%,98.61%,(0.67%),(93.13%),(6.19%),60%,79,-62.12%,$70.69k,96.89%,98.69%,(0.65%),(49.9%),(49.41%),46%,131,118.13%,$76.89k,93.66%,96.91%,(0.97%),(67.32%),(31.3%),36%,330,384.99%,$36.82k,86.06%,92.59%,(1.41%),(68.24%),(30%)
Tools & Hardware,L1,1%,207,0.00%,$599.63,31.92%,56.15%,(3.26%),(84.02%),(12.72%),1%,277,-16.26%,$3.98k,33.30%,62.35%,(3.27%),(86.03%),(10.7%),1%,368,-31.55%,$14.97k,36.85%,62.70%,(3.14%),(86.73%),(10.02%),1%,599,-14.98%,$29.88k,31.57%,59.22%,(3.07%),(77.99%),(18.18%),1%,1191,18.17%,$27.75k,29.82%,54.71%,(3.65%),(73.55%),(22.21%)
"Hand, Foot & Nail Care",L2,5%,334,0.00%,$366.78,27.13%,51.24%,(14.87%),(72.88%),(12.24%),5%,459,-13.12%,$2.09k,24.56%,52.48%,(12.65%),(73.79%),(13.56%),5%,631,-29.73%,$8.69k,28.04%,53.35%,(10.78%),(75.84%),(13.35%),6%,1074,-23.61%,$18.80k,29.71%,53.20%,(7.02%),(71.09%),(20.35%),6%,1753,26.86%,$20.60k,26.46%,47.33%,(6.21%),(69.98%),(22.82%)
Men's Bottoms,L2,29%,139,0.00%,$855.89,42.71%,70.71%,(5.56%),(85.93%),(8.51%),29%,177,-14.28%,$5.42k,47.47%,70.32%,(3.62%),(87.68%),(8.69%),34%,223,-29.57%,$24.24k,40.72%,70.96%,(2.8%),(87.91%),(9.21%),34%,330,-1.87%,$52.72k,40.44%,66.13%,(1.91%),(80.11%),(17.76%),29%,466,130.92%,$53.50k,37.40%,61.88%,(2.07%),(75.28%),(22.46%)
Snacks,L2,38%,215,0.00%,$812.00,36.56%,61.47%,(28.07%),(65.43%),(6.49%),34%,305,-4.40%,$3.90k,33.54%,60.29%,(23.78%),(68.77%),(7.45%),34%,424,-5.55%,$11.96k,23.65%,48.36%,(26.07%),(65.01%),(8.82%),34%,697,-12.33%,$25.16k,21.53%,47.77%,(21.82%),(60.79%),(16.46%),36%,1027,7.29%,$32.99k,20.85%,43.21%,(19.78%),(61.94%),(17.61%)
Costume Jewellery & Accessories,L2,28%,624,0.00%,$231.41,32.67%,45.56%,(18.22%),(60.77%),(21.01%),27%,822,-22.18%,$1.33k,26.46%,40.82%,(19.96%),(55.35%),(24.7%),25%,1089,-13.48%,$4.41k,20.00%,37.23%,(18.18%),(54.6%),(27.16%),22%,1619,27.06%,$8.01k,18.24%,32.83%,(14.62%),(50.7%),(34.55%),20%,2662,27.45%,$8.69k,16.72%,31.70%,(12.82%),(49.35%),(37.63%)
Jeans,L3,35%,56,0.00%,$1.94k,49.26%,86.59%,(19.18%),(71.16%),(9.65%),42%,77,-19.91%,$13.58k,51.35%,89.86%,(22.26%),(65.61%),(12.12%),40%,106,2.70%,$45.23k,43.54%,89.36%,(18.54%),(66.84%),(14.62%),37%,169,39.65%,$80.23k,51.58%,87.16%,(21.08%),(53.98%),(24.55%),38%,316,45.80%,$72.34k,43.64%,80.85%,(21.12%),(44.69%),(33.96%)
"Books, Magazines & Audio",L1,1%,252,0.00%,$601.23,31.33%,63.09%,(17.56%),(72.55%),(9.89%),1%,357,-23.75%,$3.59k,33.18%,67.16%,(19.12%),(70.97%),(9.91%),1%,551,12.59%,$8.43k,28.86%,62.15%,(19.32%),(67.54%),(13.06%),1%,928,-9.05%,$16.70k,37.04%,62.34%,(16.29%),(65.3%),(18%),1%,1391,-7.58%,$23.19k,39.75%,62.45%,(13.83%),(65.45%),(20.49%)
Weight Management,L3,8%,18,0.00%,$4.89k,86.18%,98.97%,(2.9%),(89.87%),(7.23%),8%,26,-28.75%,$23.45k,89.30%,98.77%,(3.16%),(93.99%),(2.85%),11%,40,-59.48%,$115.28k,94.11%,98.86%,(1.72%),(96.81%),(1.39%),9%,N/A,17.46%,$123.01k,92.38%,98.14%,(1.21%),(94.09%),(4.01%),10%,152,-16.84%,$158.63k,67.03%,95.27%,(4.18%),(87.12%),(7.93%)
Hoodies & Jumpers,L3,18%,261,0.00%,$459.91,34.39%,61.48%,(7.83%),(82.89%),(9.28%),19%,376,-15.89%,$2.69k,32.11%,57.56%,(9.98%),(78.55%),(11.47%),19%,536,-4.25%,$8.59k,41.29%,58.91%,(8%),(79.3%),(12.63%),15%,824,44.90%,$13.84k,31.94%,52.13%,(8.81%),(67.42%),(23.49%),14%,1855,39.84%,$10.54k,21.34%,38.31%,(10.27%),(57.39%),(32.09%)
Shampoo & Conditioner,L3,45%,172,0.00%,$606.43,40.95%,63.68%,(7.02%),(82.83%),(10.15%),46%,229,-8.84%,$4.02k,43.64%,66.88%,(8.61%),(80.27%),(11.12%),46%,316,-16.42%,$14.31k,41.85%,67.72%,(7.51%),(82.82%),(9.52%),43%,629,-10.62%,$22.86k,42.85%,63.93%,(11.19%),(72.47%),(15.15%),49%,999,8.23%,$27.70k,36.03%,56.47%,(10.33%),(69.64%),(18.39%)
Kitchen Appliances,L2,24%,93,0.00%,$1.29k,54.95%,86.03%,(3.2%),(94.47%),(2.33%),26%,143,22.88%,$10.15k,53.69%,84.73%,(3.31%),(92.32%),(4.37%),24%,193,-3.71%,$23.09k,45.39%,76.12%,(3.98%),(89.04%),(6.08%),24%,363,-32.06%,$43.25k,52.40%,76.62%,(1.92%),(88.27%),(7.98%),24%,629,19.56%,$45.84k,50.02%,75.54%,(1.32%),(87.47%),(10.01%)
Women's Suits & Overalls,L2,6%,288,0.00%,$363.07,19.97%,46.18%,(12.67%),(78.45%),(8.88%),6%,392,-16.80%,$2.11k,16.35%,43.37%,(7.94%),(81.11%),(10.95%),7%,515,-24.55%,$8.52k,15.13%,41.40%,(8.47%),(78.69%),(12.78%),8%,841,-23.95%,$19.47k,17.38%,36.74%,(6.41%),(69.53%),(23.27%),8%,1328,17.91%,$22.79k,25.27%,42.15%,(5.99%),(69.55%),(23.97%)
Women's Dresses,L2,6%,323,0.00%,$306.09,19.21%,43.65%,(6.66%),(81.6%),(11.75%),6%,440,-20.98%,$1.76k,19.79%,42.91%,(5.37%),(81.58%),(13.05%),6%,574,-34.09%,$7.62k,19.83%,40.83%,(5.55%),(82.03%),(12.37%),9%,839,-38.84%,$24.45k,23.36%,41.68%,(4.23%),(77.51%),(17.66%),9%,1293,48.65%,$26.54k,22.61%,39.77%,(3.5%),(75.47%),(20.54%)
Women's Bags,L2,62%,227,0.00%,$564.97,34.35%,64.28%,(26.41%),(60.82%),(12.77%),56%,306,-4.37%,$2.71k,31.21%,58.20%,(17.25%),(67.9%),(14.84%),53%,397,-24.91%,$10.87k,30.05%,57.91%,(15.53%),(66.23%),(17.98%),52%,667,-2.48%,$21.06k,30.11%,54.69%,(15.17%),(60.65%),(23.28%),54%,1151,4.11%,$23.92k,26.20%,48.09%,(14.57%),(59.06%),(25.85%)
"Vest, Tank & Tube Tops",L3,15%,288,0.00%,$350.59,42.81%,62.41%,(3.57%),(82.74%),(13.7%),15%,403,-19.52%,$2.04k,41.99%,59.96%,(2.93%),(82.04%),(15.03%),17%,521,-22.55%,$8.13k,40.31%,58.48%,(4.68%),(80.78%),(14.49%),19%,784,-11.58%,$18.55k,25.89%,45.74%,(6.3%),(71.02%),(22.27%),18%,N/A,N/A,N/A,N/A,N/A,(7.64%),(63.84%),(28.19%)
Drinks,L2,30%,136,0.00%,$1.01k,38.51%,66.96%,(8.8%),(84.62%),(6.58%),31%,203,-10.67%,$5.27k,33.26%,66.19%,(9.59%),(80.54%),(9.87%),28%,303,9.29%,$13.84k,28.97%,60.26%,(9.96%),(79.78%),(9.98%),29%,581,-24.37%,$25.33k,36.52%,61.68%,(7.34%),(78.21%),(12.94%),27%,895,37.08%,$28.44k,30.45%,55.18%,(8.77%),(75.04%),(15.21%)
Cameras & Photography,L2,21%,157,0.00%,$890.32,50.24%,75.10%,(4.17%),(88.47%),(7.35%),20%,233,-12.03%,$4.26k,49.54%,72.77%,(6.77%),(83.37%),(9.87%),16%,343,-10.98%,$12.18k,41.61%,71.94%,(5.44%),(85.15%),(9.19%),19%,620,-32.04%,$28.34k,40.89%,77.21%,(3.4%),(81.87%),(13.21%),21%,936,-13.33%,$40.43k,49.67%,78.44%,(1.95%),(82.82%),(14.08%)
Casual Dresses,L3,95%,316,0.00%,$298.23,20.13%,43.89%,(6.76%),(81.25%),(11.99%),95%,431,-21.54%,$1.70k,19.28%,42.19%,(5.46%),(81.17%),(13.38%),95%,561,-34.42%,$7.44k,19.67%,40.61%,(5.52%),(81.74%),(12.7%),97%,825,-40.05%,$24.14k,23.53%,41.42%,(4.28%),(77.16%),(17.94%),97%,1275,47.48%,$26.21k,23.22%,39.42%,(3.53%),(75.42%),(20.54%)
T-shirts,L3,40%,408,0.00%,$216.68,20.45%,37.97%,(19.24%),(56.24%),(24.52%),43%,638,-21.00%,$1.15k,17.19%,36.17%,(16.22%),(58.4%),(25.38%),52%,1003,-30.61%,$4.12k,20.17%,40.91%,(12.93%),(61.55%),(25.5%),59%,1627,-22.66%,$9.66k,14.96%,32.66%,(9.43%),(53.43%),(36.86%),57%,2587,37.44%,$10.49k,14.29%,28.90%,(10.59%),(46.82%),(42.4%)
Vacuum Cleaners & Sweeping Robots,L3,29%,58,0.00%,$1.60k,53.77%,84.11%,(6.12%),(85.85%),(8.03%),24%,79,-22.23%,$11.22k,43.59%,81.11%,(7.68%),(80.28%),(12.04%),36%,108,-16.71%,$38.19k,45.30%,77.78%,(7.75%),(81.51%),(10.47%),50%,194,-45.66%,$100.90k,44.87%,75.90%,(2.89%),(79.55%),(16.41%),61%,395,-20.86%,$112.18k,35.90%,64.12%,(2.1%),(81.35%),(15.21%)
Sports T-shirts,L3,36%,150,0.00%,$780.39,73.64%,87.23%,(1.12%),(93.35%),(5.53%),38%,236,-8.35%,$4.00k,74.14%,86.80%,(2.33%),(91.45%),(6.22%),34%,370,2.89%,$10.96k,69.06%,82.36%,(4.56%),(88.29%),(7.1%),27%,597,13.79%,$18.43k,60.69%,73.84%,(4.75%),(82.06%),(12.98%),20%,717,79.20%,$23.91k,61.05%,73.10%,(5.6%),(79.78%),(14.47%)
Earphones & Headphones,L3,45%,93,0.00%,$556.86,50.93%,82.87%,(1.54%),(88.86%),(9.6%),45%,N/A,N/A,N/A,N/A,N/A,(1.54%),(88.86%),(9.6%),60%,186,-64.76%,$21.69k,58.60%,84.94%,(8.05%),(86.8%),(5.11%),51%,331,26.03%,$34.77k,40.91%,71.27%,(6.13%),(81.04%),(11.28%),55%,522,-8.38%,$46.11k,48.31%,75.28%,(3.32%),(81.82%),(12.59%)
Office Stationery & Supplies,L2,47%,460,0.00%,$247.15,29.20%,50.42%,(28.24%),(56.36%),(15.4%),41%,682,-7.90%,$1.21k,23.00%,39.92%,(18.62%),(62.01%),(19.37%),43%,992,-20.22%,$3.97k,19.81%,38.85%,(19.36%),(59.18%),(21.36%),45%,1621,1.10%,$7.30k,19.38%,34.84%,(16.77%),(51.93%),(31%),50%,2782,10.70%,$8.10k,14.32%,30.08%,(14.9%),(53.61%),(31.11%)
Home Decor,L2,20%,448,0.00%,$262.43,37.08%,61.01%,(14.54%),(74.26%),(11.2%),21%,654,-18.17%,$1.63k,35.21%,59.88%,(11.33%),(73.5%),(15.18%),16%,937,-1.35%,$4.15k,23.98%,51.43%,(12.92%),(70.64%),(16.38%),19%,1489,5.15%,$7.86k,19.44%,47.43%,(11.67%),(65.34%),(22.21%),22%,3022,-0.32%,$7.76k,18.26%,39.94%,(11.24%),(62.33%),(26%)
Eye Treatments,L3,21%,147,0.00%,$781.62,33.89%,63.77%,(10.51%),(72.06%),(17.44%),18%,211,-9.03%,$3.80k,32.47%,59.70%,(7.06%),(75.2%),(17.75%),18%,275,-12.60%,$14.09k,29.49%,56.57%,(7.05%),(76.57%),(16.17%),14%,494,42.51%,$19.24k,21.87%,48.08%,(7.23%),(70.3%),(21.44%),15%,914,2.00%,$20.59k,25.37%,49.17%,(7.15%),(68.81%),(23.34%)
Moisturisers & Mists,L3,18%,69,0.00%,$1.43k,81.69%,92.50%,(3.5%),(94.66%),(1.84%),19%,96,1.17%,$8.80k,81.76%,92.56%,(2.67%),(94.85%),(2.48%),17%,135,-19.04%,$28.39k,77.15%,90.11%,(3.32%),(92.64%),(3.27%),16%,268,0.52%,$40.07k,76.21%,86.60%,(3.87%),(86.21%),(7.94%),15%,443,47.04%,$40.72k,76.25%,85.85%,(4.71%),(85.97%),(7.96%)
Drinkware,L2,28%,139,0.00%,$491.90,44.02%,81.12%,(3.09%),(91.21%),(5.7%),36%,214,-50.08%,$4.15k,57.65%,86.90%,(2.99%),(92.55%),(4.47%),31%,318,-13.95%,$11.58k,57.94%,83.91%,(2.71%),(90.77%),(6.12%),33%,652,-11.13%,$18.43k,52.06%,81.68%,(6.12%),(84.26%),(7.55%),28%,1583,51.69%,$12.60k,48.41%,74.14%,(7.03%),(79.42%),(12.04%)
Women Shoes,L2,58%,307,0.00%,$295.07,24.93%,44.39%,(8.65%),(75.56%),(15.79%),55%,422,-7.09%,$1.70k,19.94%,43.18%,(7.19%),(74.73%),(18.08%),55%,515,-18.05%,$7.07k,17.53%,37.63%,(8.08%),(72.82%),(19.03%),57%,796,-10.50%,$15.47k,16.05%,34.93%,(6.78%),(64.54%),(28.11%),58%,1140,18.97%,$19.88k,16.05%,33.82%,(5.5%),(62.6%),(31.47%)
Electric Mops,L3,48%,8,0.00%,$18.80k,98.30%,100.00%,(0.23%),(99.68%),(0.09%),58%,N/A,N/A,N/A,N/A,N/A,(0.23%),(99.68%),(3.35%),31%,8,142.48%,$453.27k,95.74%,100.00%,(0.29%),(95.92%),(3.72%),17%,8,68.20%,$834.18k,87.47%,100.00%,(0.85%),(93.51%),(3.87%),10%,N/A,N/A,N/A,N/A,N/A,(0.85%),(93.51%),(3.87%)
Sports Shorts,L3,28%,146,0.00%,$617.58,52.35%,71.60%,(1.06%),(83.55%),(15.39%),29%,185,-15.93%,$3.88k,56.61%,72.02%,(2.99%),(82.21%),(14.8%),30%,238,-16.23%,$15.22k,55.32%,70.49%,(7.34%),(76.84%),(15.77%),29%,365,-14.96%,$32.71k,51.51%,69.26%,(6.44%),(71.91%),(21.21%),36%,623,-34.87%,$48.59k,52.09%,73.08%,(7.99%),(74.07%),(17.69%)
Power Tools,L2,54%,97,0.00%,$677.21,41.40%,74.51%,(2.43%),(88.42%),(9.15%),60%,132,-17.21%,$4.94k,42.50%,79.39%,(1.78%),(91.47%),(6.75%),64%,183,-34.73%,$18.98k,51.17%,82.11%,(1.28%),(91.1%),(7.48%),63%,285,-13.37%,$38.62k,43.67%,78.82%,(1.79%),(80.24%),(16.84%),60%,535,29.53%,$36.46k,39.07%,69.78%,(2.49%),(75.92%),(20.68%)
Car Interior Accessories,L2,38%,296,0.00%,$342.91,46.90%,68.20%,(10.67%),(76.49%),(12.84%),43%,405,-18.05%,$2.66k,61.06%,76.27%,(6.69%),(53.48%),(39.83%),33%,549,-2.71%,$6.30k,42.60%,64.13%,(7.22%),(55.35%),(37.34%),31%,885,-4.05%,$12.93k,34.00%,55.57%,(5.99%),(53.3%),(39.94%),32%,1555,-0.10%,$14.73k,25.86%,48.04%,(5.98%),(57.61%),(35.83%)
Games & Puzzles,L2,46%,182,0.00%,$483.41,24.47%,54.38%,(43.62%),(37.02%),(19.35%),44%,291,-11.55%,$2.16k,24.91%,50.99%,(51.41%),(28.73%),(19.85%),46%,447,-36.97%,$7.58k,20.73%,45.18%,(51.24%),(23.94%),(24.7%),45%,720,-7.06%,$17.09k,29.10%,47.98%,(44.86%),(20.74%),(34.21%),39%,1054,165.61%,$16.07k,25.25%,43.70%,(37.95%),(28.62%),(33.24%)
Cookware,L2,33%,132,0.00%,$595.07,66.65%,82.76%,(10.93%),(83.38%),(5.69%),28%,177,-21.64%,$3.75k,66.77%,83.92%,(13.94%),(79.51%),(6.55%),28%,269,-29.06%,$11.99k,70.60%,84.05%,(12.96%),(79.91%),(6.79%),25%,520,-4.98%,$17.08k,66.08%,81.15%,(5.1%),(84.1%),(9.33%),31%,1197,-28.01%,$17.72k,59.18%,79.35%,(2.41%),(84.66%),(12.06%)
Quilts,L3,42%,109,0.00%,$713.63,43.45%,73.35%,(6.43%),(82.56%),(11.01%),38%,156,-14.88%,$3.82k,40.04%,69.93%,(2.36%),(83.08%),(14.56%),42%,202,-14.11%,$15.95k,36.17%,68.76%,(2.71%),(83.9%),(12.94%),44%,288,-7.66%,$42.11k,42.95%,68.78%,(3.53%),(80.27%),(15.47%),42%,534,87.04%,$34.85k,34.25%,62.01%,(5.26%),(71.59%),(22.34%)
"Cases, Screen Protectors & Stickers",L3,35%,210,0.00%,$370.01,46.42%,73.17%,(10.65%),(80.01%),(9.33%),38%,299,-0.77%,$2.18k,44.56%,72.41%,(15.3%),(72.88%),(11.82%),37%,402,-24.53%,$7.41k,47.27%,66.34%,(13.78%),(73.26%),(12.9%),34%,624,0.07%,$16.42k,46.35%,64.30%,(12.59%),(69.12%),(17.89%),33%,1012,31.34%,$17.83k,38.28%,55.13%,(14.61%),(60.37%),(24.65%)
Peripherals & Accessories,L2,28%,158,0.00%,$430.90,59.30%,74.06%,(3.81%),(89.56%),(6.63%),32%,242,-26.90%,$2.61k,54.23%,73.84%,(4.27%),(87.81%),(7.92%),33%,353,-20.51%,$8.41k,53.87%,71.49%,(3.35%),(88.66%),(7.92%),28%,579,34.88%,$12.57k,41.69%,63.30%,(2.71%),(81.76%),(14.66%),22%,933,198.32%,$10.42k,32.78%,54.19%,(3.3%),(73.29%),(22.71%)
Manicure & Pedicure Tools,L3,62%,127,0.00%,$499.24,46.65%,79.45%,(9.95%),(78.69%),(11.36%),64%,180,-12.27%,$2.86k,43.76%,79.58%,(9.94%),(79.6%),(10.46%),64%,246,-30.68%,$12.06k,49.93%,78.78%,(6.14%),(83.72%),(10.13%),65%,415,-23.49%,$26.77k,52.59%,77.65%,(3.83%),(79.99%),(13.74%),63%,725,46.03%,$25.82k,47.97%,73.71%,(3.6%),(78.01%),(16.82%)
Classic & Novelty Toys,L2,43%,255,0.00%,$324.21,23.62%,45.39%,(28.48%),(62.54%),(8.98%),43%,397,-14.86%,$1.56k,26.52%,48.79%,(23.65%),(65.89%),(10.45%),40%,608,-24.30%,$4.83k,24.08%,42.72%,(21.03%),(63.33%),(15.5%),38%,1034,-3.40%,$10.17k,20.44%,37.92%,(16.69%),(60.41%),(22.19%),44%,1661,26.03%,$11.36k,18.66%,34.23%,(15.77%),(59.82%),(23.48%)
Lipstick & Lip Gloss,L3,7%,165,0.00%,$293.09,27.02%,51.85%,(18.14%),(67.28%),(14.58%),7%,228,-36.41%,$2.02k,27.26%,53.76%,(16.6%),(71.03%),(12.37%),8%,313,-44.07%,$9.25k,41.42%,62.65%,(12.58%),(73.69%),(13.64%),8%,568,3.08%,$15.82k,38.37%,62.39%,(15.09%),(66.51%),(17.73%),10%,1071,-18.82%,$18.72k,40.49%,64.69%,(16.58%),(65.48%),(17.39%)
Heatless Styling Tools,L3,29%,153,0.00%,$442.90,41.79%,72.28%,(24.05%),(64.97%),(10.97%),34%,202,-44.34%,$3.37k,46.49%,75.27%,(10.38%),(80.78%),(8.84%),29%,280,-12.80%,$10.29k,35.06%,72.40%,(13.11%),(76.03%),(10.82%),33%,464,64.18%,$23.72k,45.62%,80.08%,(9.55%),(53.28%),(36.6%),31%,796,65.24%,$22.20k,34.30%,68.68%,(9.52%),(56.78%),(32.85%)
Fresh & Frozen Food,L2,11%,89,0.00%,$572.75,69.86%,81.70%,(9.09%),(79.05%),(11.86%),17%,148,-24.18%,$4.01k,80.53%,88.00%,(3.88%),(83.45%),(12.66%),19%,217,-23.12%,$12.94k,76.87%,84.99%,(4.44%),(83.03%),(12.32%),14%,405,32.43%,$17.98k,64.53%,77.60%,(6.09%),(75.08%),(18.35%),16%,595,-5.88%,$25.24k,62.37%,78.11%,(7.56%),(78.49%),(13.69%)
