shop_name,shop_type,shop_earliest_date_recorded,shop_soa_revenue_Yesterday,shop_soa_revenue_per_day_Yesterday,shop_affiliate_revenue_Yesterday,shop_affiliate_revenue_per_day_Yesterday,shop_soa_revenue_share_Yesterday,shop_aff_revenue_share_Yesterday,shop_mall_revenue_share_Yesterday,shop_soa_revenue_Last 7 Days,shop_soa_revenue_per_day_Last 7 Days,shop_affiliate_revenue_Last 7 Days,shop_affiliate_revenue_per_day_Last 7 Days,shop_soa_revenue_share_Last 7 Days,shop_aff_revenue_share_Last 7 Days,shop_mall_revenue_share_Last 7 Days,shop_soa_revenue_Last 30 Days,shop_soa_revenue_per_day_Last 30 Days,shop_affiliate_revenue_Last 30 Days,shop_affiliate_revenue_per_day_Last 30 Days,shop_soa_revenue_share_Last 30 Days,shop_aff_revenue_share_Last 30 Days,shop_mall_revenue_share_Last 30 Days,shop_soa_revenue_Last 90 Days,shop_soa_revenue_per_day_Last 90 Days,shop_affiliate_revenue_Last 90 Days,shop_affiliate_revenue_per_day_Last 90 Days,shop_soa_revenue_share_Last 90 Days,shop_aff_revenue_share_Last 90 Days,shop_mall_revenue_share_Last 90 Days,shop_soa_revenue_Last 180 Days,shop_soa_revenue_per_day_Last 180 Days,shop_affiliate_revenue_Last 180 Days,shop_affiliate_revenue_per_day_Last 180 Days,shop_soa_revenue_share_Last 180 Days,shop_aff_revenue_share_Last 180 Days,shop_mall_revenue_share_Last 180 Days
Fashion Row,RETAILER,12/21/2023,$19.98k,$577.26 Per Day,$18.78k,$18.78k Per Day,(2.89%),(94.02%),(3.09%),$174.68k,$697.52 Per Day,$160.08k,$22.87k Per Day,(2.8%),(91.64%),(5.56%),$695.58k,$780.64 Per Day,$642.22k,$21.41k Per Day,(3.37%),(92.33%),(4.3%),$1.20m,$394.09 Per Day,$1.05m,$11.68k Per Day,(2.94%),(87.25%),(9.81%),$1.77m,$222.47 Per Day,$1.45m,$8.08k Per Day,(2.26%),(82.02%),(15.72%)
BoomBoom Naturals,RETAILER,11/19/2023,$26.81k,$56.85 Per Day,$26.76k,$26.76k Per Day,(0.21%),(99.79%),(0%),$197.31k,$111.00 Per Day,$196.53k,$28.08k Per Day,(0.39%),(99.61%),(0%),$689.08k,$62.50 Per Day,$687.21k,$22.91k Per Day,(0.27%),(99.73%),(0%),$740.70k,$21.28 Per Day,$732.40k,$8.14k Per Day,(0.26%),(98.88%),(0.86%),$767.68k,$10.64 Per Day,$751.57k,$4.18k Per Day,(0.25%),(97.9%),(1.85%)
Highfundamental,RETAILER,10/22/2023,$15.89k,$6.97k Per Day,$8.32k,$8.32k Per Day,(43.9%),(52.38%),(3.72%),$85.57k,$3.43k Per Day,$56.22k,$8.03k Per Day,(28.03%),(65.7%),(6.27%),$687.51k,$1.76k Per Day,$573.90k,$19.13k Per Day,(7.68%),(83.48%),(8.85%),$1.56m,$616.82 Per Day,$1.14m,$12.65k Per Day,(3.56%),(72.89%),(23.56%),$2.62m,$566.69 Per Day,$1.79m,$9.97k Per Day,(3.9%),(68.54%),(27.56%)
meoky shop,BRAND,07/21/2023,$8.90k,$142.06 Per Day,$8.75k,$8.75k Per Day,(1.6%),(98.4%),(0%),$126.24k,$247.82 Per Day,$124.50k,$17.79k Per Day,(1.37%),(98.63%),(0%),$682.22k,$347.82 Per Day,$665.98k,$22.20k Per Day,(1.53%),(97.62%),(0.85%),$1.60m,$196.11 Per Day,$1.55m,$17.25k Per Day,(1.1%),(97.13%),(1.76%),$2.64m,$141.54 Per Day,$2.55m,$14.17k Per Day,(0.97%),(96.65%),(2.38%)
Peter Thomas Roth Labs,BRAND,11/14/2023,$6.70k,$1.39k Per Day,$5.31k,$5.31k Per Day,(20.75%),(79.25%),(0%),$74.27k,$624.98 Per Day,$69.54k,$9.93k Per Day,(5.89%),(93.63%),(0.48%),$680.12k,$394.91 Per Day,$663.32k,$22.11k Per Day,(1.74%),(97.53%),(0.73%),$2.88m,$568.96 Per Day,$2.72m,$30.21k Per Day,(1.78%),(94.27%),(3.96%),$3.99m,$289.99 Per Day,$3.61m,$20.07k Per Day,(1.31%),(90.43%),(8.26%)
Jeffree Star Cosmetics,BRAND,07/21/2023,$7.96k,$7.67k Per Day,$295.70,$295.70 Per Day,(96.29%),(3.71%),(0%),$214.54k,$26.90k Per Day,$12.18k,$1.74k Per Day,(87.76%),(5.68%),(6.56%),$679.63k,$15.31k Per Day,$53.62k,$1.79k Per Day,(67.57%),(7.89%),(24.54%),$2.59m,$18.83k Per Day,$177.11k,$1.97k Per Day,(65.45%),(6.84%),(27.71%),$6.47m,$23.91k Per Day,$897.66k,$4.99k Per Day,(66.51%),(13.87%),(19.62%)
Betterbrand,BRAND,08/01/2023,$29.00k,$3.71k Per Day,$23.10k,$23.10k Per Day,(12.81%),(79.66%),(7.53%),$193.33k,$3.39k Per Day,$151.56k,$21.65k Per Day,(12.29%),(78.4%),(9.32%),$675.62k,$4.42k Per Day,$445.42k,$14.85k Per Day,(19.64%),(65.93%),(14.43%),$2.06m,$4.85k Per Day,$1.19m,$13.21k Per Day,(21.21%),(57.78%),(21.01%),$4.50m,$6.20k Per Day,$2.77m,$15.39k Per Day,(24.8%),(61.58%),(13.63%)
Cider,BRAND,10/04/2023,$8.66k,$1.57k Per Day,$4.77k,$4.77k Per Day,(18.14%),(55.11%),(26.75%),$77.59k,$1.26k Per Day,$49.54k,$7.08k Per Day,(11.36%),(63.85%),(24.79%),$674.75k,$3.10k Per Day,$444.42k,$14.81k Per Day,(13.78%),(65.86%),(20.35%),$2.79m,$2.03k Per Day,$1.41m,$15.68k Per Day,(6.54%),(50.51%),(42.95%),$5.98m,$1.01k Per Day,$3.84m,$21.33k Per Day,(3.05%),(64.17%),(32.78%)
BEARVANA,BRAND,01/18/2024,$15.86k,$0.00 Per Day,$15.86k,$15.86k Per Day,(0%),(100%),(0%),$126.75k,$0.00 Per Day,$126.75k,$18.11k Per Day,(0%),(100%),(0%),$670.27k,$0.00 Per Day,$666.14k,$22.20k Per Day,(0%),(99.38%),(0.62%),$1.48m,$0.00 Per Day,$1.46m,$16.24k Per Day,(0%),(98.42%),(1.58%),$2.62m,$0.00 Per Day,$2.52m,$14.02k Per Day,(0%),(96.32%),(3.68%)
Wolves & Willows,RETAILER,08/22/2023,$0.00,$0.00 Per Day,$0.00,$0.00 Per Day,(NaN%),(NaN%),(NaN%),$297.99k,$0.00 Per Day,$0.00,$0.00 Per Day,(0%),(0%),(100%),$668.81k,$0.00 Per Day,$0.00,$0.00 Per Day,(0%),(0%),(100%),$1.46m,$0.00 Per Day,$5.89k,$65.44 Per Day,(0%),(0.4%),(99.6%),$1.56m,$0.00 Per Day,$33.16k,$184.25 Per Day,(0%),(2.13%),(97.87%)
DrBioCare,BRAND,12/24/2023,$18.49k,$75.98 Per Day,$17.16k,$17.16k Per Day,(0.41%),(92.81%),(6.78%),$121.41k,$32.56 Per Day,$108.32k,$15.47k Per Day,(0.19%),(89.22%),(10.59%),$665.95k,$7.60 Per Day,$572.75k,$19.09k Per Day,(0.03%),(86%),(13.96%),$1.67m,$2.53 Per Day,$1.35m,$14.97k Per Day,(0.01%),(80.58%),(19.4%),$2.64m,$1.27 Per Day,$1.74m,$9.67k Per Day,(0.01%),(65.95%),(34.04%)
Brother Cosmetics,RETAILER,02/05/2024,$13.51k,$0.00 Per Day,$13.51k,$13.51k Per Day,(0%),(100%),(0%),$106.13k,$0.00 Per Day,$106.13k,$15.16k Per Day,(0%),(100%),(0%),$664.83k,$0.00 Per Day,$664.83k,$22.16k Per Day,(0%),(100%),(0%),$682.00k,$0.00 Per Day,$681.71k,$7.57k Per Day,(0%),(99.96%),(0.04%),$766.82k,$0.00 Per Day,$765.08k,$4.25k Per Day,(0%),(99.77%),(0.23%)
TIANFUC,RETAILER,10/04/2023,$18.00k,$0.00 Per Day,$17.85k,$17.85k Per Day,(0%),(99.18%),(0.82%),$133.36k,$0.00 Per Day,$129.42k,$18.49k Per Day,(0%),(97.05%),(2.95%),$660.41k,$0.00 Per Day,$631.20k,$21.04k Per Day,(0%),(95.58%),(4.42%),$1.61m,$0.00 Per Day,$1.37m,$15.21k Per Day,(0%),(85.05%),(14.95%),$2.51m,$0.00 Per Day,$2.19m,$12.16k Per Day,(0%),(87.26%),(12.74%)
OQQfitness,BRAND,09/11/2023,$15.83k,$0.00 Per Day,$15.68k,$15.68k Per Day,(0%),(99.05%),(0.95%),$113.09k,$17.96 Per Day,$111.09k,$15.87k Per Day,(0.11%),(98.23%),(1.66%),$658.86k,$27.03 Per Day,$643.56k,$21.45k Per Day,(0.12%),(97.68%),(2.2%),$4.25m,$35.48 Per Day,$3.95m,$43.90k Per Day,(0.08%),(92.99%),(6.94%),$7.92m,$17.74 Per Day,$7.54m,$41.91k Per Day,(0.04%),(95.3%),(4.66%)
Trendsetters Perfumes,RETAILER,09/03/2023,$10.82k,$0.00 Per Day,$9.76k,$9.76k Per Day,(0%),(90.22%),(9.78%),$108.10k,$0.00 Per Day,$98.43k,$14.06k Per Day,(0%),(91.05%),(8.95%),$657.22k,$0.97 Per Day,$565.52k,$18.85k Per Day,(0%),(86.05%),(13.95%),$2.51m,$1.93 Per Day,$1.95m,$21.69k Per Day,(0.01%),(77.79%),(22.21%),$4.82m,$0.97 Per Day,$3.38m,$18.78k Per Day,(0%),(70.2%),(29.8%)
Miniso Specialty Store,BRAND,05/23/2024,$32.43k,$0.00 Per Day,$32.10k,$32.10k Per Day,(0%),(98.96%),(1.04%),$303.17k,$0.00 Per Day,$301.02k,$43.00k Per Day,(0%),(99.29%),(0.71%),$652.87k,$0.00 Per Day,$643.44k,$21.45k Per Day,(0%),(98.56%),(1.44%),$1.09m,$0.00 Per Day,$1.04m,$11.56k Per Day,(0%),(95.85%),(4.15%),$1.09m,$0.00 Per Day,$1.04m,$10.13k Per Day,(0%),(95.8%),(4.2%)
Showitty,BRAND,09/10/2023,$12.03k,$20.98 Per Day,$11.24k,$11.24k Per Day,(0.17%),(93.4%),(6.42%),$97.45k,$968.62 Per Day,$87.16k,$12.45k Per Day,(6.96%),(89.44%),(3.61%),$652.80k,$693.46 Per Day,$619.53k,$20.65k Per Day,(3.19%),(94.9%),(1.91%),$3.03m,$389.01 Per Day,$2.68m,$29.82k Per Day,(1.15%),(88.49%),(10.35%),$4.19m,$196.16 Per Day,$3.78m,$20.98k Per Day,(0.84%),(90.22%),(8.94%)
Sweet Furniture Plus,BRAND,10/29/2023,$10.72k,$0.00 Per Day,$10.55k,$10.55k Per Day,(0%),(98.4%),(1.6%),$127.83k,$0.00 Per Day,$121.33k,$17.33k Per Day,(0%),(94.92%),(5.08%),$652.60k,$0.00 Per Day,$604.61k,$20.15k Per Day,(0%),(92.65%),(7.35%),$2.79m,$0.00 Per Day,$2.50m,$27.74k Per Day,(0%),(89.43%),(10.57%),$7.73m,$16.12 Per Day,$7.00m,$38.89k Per Day,(0.04%),(90.51%),(9.45%)
DREAM PAIRS,RETAILER,01/30/2024,$19.63k,$7.40k Per Day,$12.02k,$12.02k Per Day,(37.68%),(61.24%),(1.08%),$142.06k,$6.06k Per Day,$97.12k,$13.88k Per Day,(29.87%),(68.37%),(1.77%),$648.43k,$8.40k Per Day,$386.20k,$12.87k Per Day,(38.85%),(59.56%),(1.59%),$1.19m,$3.77k Per Day,$727.77k,$8.09k Per Day,(28.52%),(61.15%),(10.33%),$1.44m,$1.89k Per Day,$880.24k,$4.89k Per Day,(23.55%),(61.07%),(15.39%)
mfish tech inc,BRAND,03/20/2024,$14.51k,$0.00 Per Day,$14.51k,$14.51k Per Day,(0%),(100%),(0%),$121.74k,$0.00 Per Day,$121.49k,$17.36k Per Day,(0%),(99.8%),(0.2%),$646.33k,$0.00 Per Day,$644.85k,$21.49k Per Day,(0%),(99.77%),(0.23%),$1.12m,$0.00 Per Day,$1.08m,$12.00k Per Day,(0%),(96.49%),(3.51%),$1.16m,$0.00 Per Day,$1.11m,$6.51k Per Day,(0%),(95.6%),(4.4%)
ETHME,RETAILER,04/04/2024,$13.92k,$0.00 Per Day,$13.77k,$13.77k Per Day,(0%),(98.92%),(1.08%),$68.78k,$0.00 Per Day,$68.01k,$9.72k Per Day,(0%),(98.87%),(1.13%),$647.17k,$0.00 Per Day,$632.74k,$21.09k Per Day,(0%),(97.77%),(2.23%),$1.23m,$0.00 Per Day,$1.15m,$12.78k Per Day,(0%),(93.55%),(6.45%),$1.44m,$0.00 Per Day,$1.25m,$8.06k Per Day,(0%),(86.94%),(13.06%)
Oudware,RETAILER,07/31/2023,$16.79k,$0.00 Per Day,$14.43k,$14.43k Per Day,(0%),(85.98%),(14.02%),$127.97k,$0.00 Per Day,$110.42k,$15.77k Per Day,(0%),(86.29%),(13.71%),$630.68k,$266.20 Per Day,$562.61k,$18.75k Per Day,(1.27%),(89.21%),(9.53%),$2.10m,$105.56 Per Day,$1.74m,$19.38k Per Day,(0.45%),(82.89%),(16.66%),$4.77m,$167.51 Per Day,$3.77m,$20.96k Per Day,(0.63%),(79.07%),(20.3%)
Thrasio Brands,RETAILER,07/25/2023,$12.56k,$0.00 Per Day,$12.07k,$12.07k Per Day,(0%),(96.1%),(3.9%),$121.35k,$0.00 Per Day,$116.54k,$16.65k Per Day,(0%),(96.03%),(3.97%),$631.42k,$39.13 Per Day,$599.56k,$19.99k Per Day,(0.19%),(94.95%),(4.86%),$1.94m,$105.93 Per Day,$1.68m,$18.71k Per Day,(0.49%),(86.76%),(12.75%),$4.18m,$74.91 Per Day,$3.86m,$21.47k Per Day,(0.32%),(92.35%),(7.32%)
GotVoom Select,RETAILER,08/11/2023,$11.50k,$0.00 Per Day,$11.33k,$11.33k Per Day,(0%),(98.59%),(1.41%),$73.77k,$0.00 Per Day,$72.72k,$10.39k Per Day,(0%),(98.58%),(1.42%),$626.53k,$0.00 Per Day,$618.67k,$20.62k Per Day,(0%),(98.75%),(1.25%),$1.20m,$0.00 Per Day,$1.13m,$12.61k Per Day,(0%),(94.74%),(5.26%),$2.61m,$0.00 Per Day,$2.45m,$13.63k Per Day,(0%),(94.06%),(5.94%)
AROMA CONCEPTS FL,BRAND,07/22/2023,$15.05k,$12.00k Per Day,$2.88k,$2.88k Per Day,(79.76%),(19.13%),(1.12%),$146.46k,$14.08k Per Day,$35.53k,$5.08k Per Day,(67.27%),(24.26%),(8.47%),$631.08k,$8.04k Per Day,$275.08k,$9.17k Per Day,(38.22%),(43.59%),(18.19%),$1.47m,$6.01k Per Day,$702.47k,$7.81k Per Day,(36.88%),(47.86%),(15.26%),$2.38m,$3.11k Per Day,$1.39m,$7.74k Per Day,(23.51%),(58.6%),(17.88%)
Noahtec,RETAILER,07/25/2023,$20.53k,$20.49 Per Day,$20.23k,$20.23k Per Day,(0.1%),(98.54%),(1.36%),$147.74k,$107.29 Per Day,$144.62k,$20.66k Per Day,(0.51%),(97.89%),(1.6%),$630.03k,$127.49 Per Day,$612.14k,$20.40k Per Day,(0.61%),(97.16%),(2.23%),$1.28m,$42.56 Per Day,$1.20m,$13.31k Per Day,(0.3%),(93.45%),(6.25%),$1.88m,$21.28 Per Day,$1.57m,$8.74k Per Day,(0.2%),(83.64%),(16.16%)
Hear Your Story,BRAND,03/04/2024,$38.94k,$64.31 Per Day,$38.79k,$38.79k Per Day,(0.17%),(99.61%),(0.22%),$207.99k,$65.69 Per Day,$205.69k,$29.38k Per Day,(0.22%),(98.89%),(0.89%),$656.28k,$93.16 Per Day,$642.13k,$21.40k Per Day,(0.43%),(97.84%),(1.73%),$2.41m,$31.28 Per Day,$2.28m,$25.33k Per Day,(0.12%),(94.69%),(5.19%),$3.86m,$15.64 Per Day,$3.49m,$19.39k Per Day,(0.07%),(90.46%),(9.47%)
The Beachwaver,BRAND,07/21/2023,$16.39k,$2.00k Per Day,$13.53k,$13.53k Per Day,(12.2%),(82.56%),(5.24%),$252.01k,$288.37 Per Day,$226.33k,$32.33k Per Day,(0.8%),(89.81%),(9.39%),$623.47k,$1.99k Per Day,$510.38k,$17.01k Per Day,(9.6%),(81.86%),(8.54%),$3.07m,$3.79k Per Day,$1.91m,$21.19k Per Day,(11.14%),(62.22%),(26.64%),$9.04m,$9.47k Per Day,$6.16m,$34.20k Per Day,(18.86%),(68.06%),(13.08%)
Evolution Fit,RETAILER,12/01/2023,$15.62k,$0.00 Per Day,$15.62k,$15.62k Per Day,(0%),(100%),(0%),$129.21k,$0.00 Per Day,$124.33k,$17.76k Per Day,(0%),(96.22%),(3.78%),$615.94k,$0.00 Per Day,$581.60k,$19.39k Per Day,(0%),(94.42%),(5.58%),$1.54m,$0.67 Per Day,$1.36m,$15.17k Per Day,(0%),(88.46%),(11.53%),$1.57m,$0.33 Per Day,$1.37m,$7.62k Per Day,(0%),(87.56%),(12.43%)
CE Craft Company,BRAND,07/31/2023,$27.78k,$4.84k Per Day,$21.86k,$21.86k Per Day,(17.44%),(78.69%),(3.87%),$304.39k,$5.66k Per Day,$240.29k,$34.33k Per Day,(13.01%),(78.94%),(8.04%),$632.45k,$3.68k Per Day,$471.51k,$15.72k Per Day,(17.44%),(74.55%),(8.01%),$1.85m,$4.33k Per Day,$1.19m,$13.26k Per Day,(21.03%),(64.34%),(14.62%),$3.11m,$4.30k Per Day,$2.01m,$11.19k Per Day,(24.91%),(64.84%),(10.25%)
Herfessmartlife,RETAILER,10/13/2023,$25.52k,$9.83k Per Day,$15.03k,$15.03k Per Day,(38.53%),(58.88%),(2.59%),$308.43k,$5.27k Per Day,$241.03k,$34.43k Per Day,(11.96%),(78.15%),(9.89%),$636.13k,$3.89k Per Day,$480.81k,$16.03k Per Day,(18.33%),(75.58%),(6.09%),$2.01m,$1.75k Per Day,$1.70m,$18.85k Per Day,(7.85%),(84.47%),(7.67%),$5.66m,$876.19 Per Day,$5.27m,$29.30k Per Day,(2.79%),(93.19%),(4.02%)
KORSMALL,BRAND,12/23/2023,$5.93k,$70.98 Per Day,$5.82k,$5.82k Per Day,(1.2%),(98.1%),(0.71%),$73.35k,$182.28 Per Day,$67.79k,$9.68k Per Day,(1.74%),(92.41%),(5.85%),$603.86k,$283.44 Per Day,$455.86k,$15.20k Per Day,(1.41%),(75.49%),(23.1%),$840.86k,$234.59 Per Day,$590.40k,$6.56k Per Day,(2.51%),(70.21%),(27.28%),$1.17m,$117.30 Per Day,$794.64k,$4.41k Per Day,(1.8%),(67.78%),(30.42%)
"Cocó March, N.M.D",RETAILER,06/18/2024,$13.04k,$315.99 Per Day,$10.18k,$10.18k Per Day,(2.42%),(78.07%),(19.51%),$73.18k,$851.16 Per Day,$50.37k,$7.20k Per Day,(8.14%),(68.84%),(23.02%),$601.86k,$1.45k Per Day,$448.32k,$14.94k Per Day,(7.24%),(74.49%),(18.27%),$1.19m,$895.72 Per Day,$915.05k,$11.44k Per Day,(6.04%),(77.09%),(16.88%),$1.19m,$895.72 Per Day,$915.05k,$11.44k Per Day,(6.04%),(77.09%),(16.88%)
AshineHair,RETAILER,12/14/2023,$20.46k,$0.00 Per Day,$20.02k,$20.02k Per Day,(0%),(97.88%),(2.12%),$112.14k,$0.00 Per Day,$106.32k,$15.19k Per Day,(0%),(94.8%),(5.2%),$593.64k,$0.00 Per Day,$541.65k,$18.05k Per Day,(0%),(91.24%),(8.76%),$2.00m,$0.00 Per Day,$1.73m,$19.23k Per Day,(0%),(86.34%),(13.66%),$3.60m,$0.00 Per Day,$3.28m,$18.23k Per Day,(0%),(91.26%),(8.74%)
Bedsure,BRAND,11/24/2023,$29.21k,$0.00 Per Day,$27.71k,$27.71k Per Day,(0%),(94.89%),(5.11%),$168.16k,$119.24 Per Day,$158.28k,$22.61k Per Day,(0.5%),(94.12%),(5.38%),$613.05k,$27.82 Per Day,$571.52k,$19.05k Per Day,(0.14%),(93.22%),(6.64%),$1.25m,$9.27 Per Day,$1.08m,$12.05k Per Day,(0.07%),(86.49%),(13.44%),$2.03m,$4.64 Per Day,$1.74m,$9.64k Per Day,(0.04%),(85.48%),(14.48%)
Based Body Works,RETAILER,09/08/2023,$21.67k,$4.70k Per Day,$16.96k,$16.96k Per Day,(21.71%),(78.29%),(0%),$157.30k,$3.35k Per Day,$133.84k,$19.12k Per Day,(14.92%),(85.08%),(0%),$599.32k,$1.93k Per Day,$541.34k,$18.04k Per Day,(9.67%),(90.33%),(0.01%),$1.22m,$895.04 Per Day,$1.08m,$11.98k Per Day,(6.61%),(88.47%),(4.92%),$1.91m,$931.33 Per Day,$1.60m,$8.90k Per Day,(8.79%),(84.03%),(7.18%)
Dwellhome,RETAILER,03/07/2024,$5.74k,$0.00 Per Day,$5.74k,$5.74k Per Day,(0%),(100%),(0%),$46.97k,$0.00 Per Day,$46.97k,$6.71k Per Day,(0%),(100%),(0%),$531.29k,$0.00 Per Day,$531.19k,$17.71k Per Day,(0%),(99.98%),(0.02%),$3.96m,$0.00 Per Day,$3.70m,$41.13k Per Day,(0%),(93.44%),(6.56%),$4.67m,$0.00 Per Day,$4.39m,$24.38k Per Day,(0%),(93.95%),(6.05%)
RefinedLiving,RETAILER,07/27/2023,$9.89k,$0.00 Per Day,$9.81k,$9.81k Per Day,(0%),(99.18%),(0.82%),$107.83k,$0.00 Per Day,$104.16k,$14.88k Per Day,(0%),(96.6%),(3.4%),$574.13k,$12.60 Per Day,$552.66k,$18.42k Per Day,(0.07%),(96.26%),(3.67%),$2.33m,$4.83 Per Day,$1.90m,$21.10k Per Day,(0.02%),(81.51%),(18.47%),$4.93m,$3.48 Per Day,$3.94m,$21.88k Per Day,(0.01%),(79.88%),(20.11%)
Fragrant Villa,RETAILER,12/05/2023,$20.66k,$422.51 Per Day,$18.29k,$18.29k Per Day,(2.05%),(88.54%),(9.41%),$153.69k,$566.19 Per Day,$138.11k,$19.73k Per Day,(2.58%),(89.86%),(7.56%),$587.77k,$856.83 Per Day,$473.58k,$15.79k Per Day,(4.37%),(80.57%),(15.05%),$1.63m,$1.03k Per Day,$1.09m,$12.15k Per Day,(5.67%),(67.14%),(27.18%),$2.88m,$899.35 Per Day,$1.65m,$9.19k Per Day,(5.63%),(57.51%),(36.87%)
Wonderskin Beauty,RETAILER,10/23/2023,$7.90k,$0.00 Per Day,$7.73k,$7.73k Per Day,(0%),(97.89%),(2.11%),$64.25k,$313.26 Per Day,$60.98k,$8.71k Per Day,(3.41%),(94.91%),(1.68%),$552.24k,$98.93 Per Day,$538.03k,$17.93k Per Day,(0.54%),(97.43%),(2.04%),$1.89m,$260.55 Per Day,$1.62m,$18.00k Per Day,(1.24%),(85.62%),(13.14%),$2.82m,$130.27 Per Day,$2.46m,$13.64k Per Day,(0.83%),(87.06%),(12.11%)
Calipokehouse,RETAILER,03/29/2024,$20.90k,$20.90k Per Day,$0.00,$0.00 Per Day,(100%),(0%),(0%),$163.12k,$23.28k Per Day,$0.00,$0.00 Per Day,(99.88%),(0%),(0.12%),$551.22k,$16.44k Per Day,$0.00,$0.00 Per Day,(89.47%),(0%),(10.53%),$2.26m,$22.28k Per Day,$0.00,$0.00 Per Day,(88.79%),(0%),(11.21%),$3.85m,$18.99k Per Day,$0.00,$0.00 Per Day,(79.41%),(0%),(20.59%)
SZPengyi,RETAILER,08/15/2023,$18.85k,$0.00 Per Day,$18.77k,$18.77k Per Day,(0%),(99.55%),(0.45%),$255.28k,$0.00 Per Day,$254.22k,$36.32k Per Day,(0%),(99.59%),(0.41%),$569.24k,$0.00 Per Day,$561.14k,$18.70k Per Day,(0%),(98.58%),(1.42%),$1.85m,$0.00 Per Day,$1.80m,$20.03k Per Day,(0%),(97.54%),(2.46%),$2.00m,$0.00 Per Day,$1.91m,$10.62k Per Day,(0%),(95.41%),(4.59%)
Color Wow Hair,BRAND,09/13/2023,$20.00k,$5.21k Per Day,$14.67k,$14.67k Per Day,(26.03%),(73.32%),(0.65%),$155.76k,$9.08k Per Day,$87.06k,$12.44k Per Day,(40.82%),(55.89%),(3.29%),$569.70k,$5.65k Per Day,$383.98k,$12.80k Per Day,(29.77%),(67.4%),(2.83%),$2.37m,$6.62k Per Day,$1.40m,$15.53k Per Day,(25.09%),(58.86%),(16.05%),$5.38m,$7.46k Per Day,$2.96m,$16.42k Per Day,(24.95%),(54.92%),(20.13%)
Partheafashion,RETAILER,08/06/2023,$12.18k,$0.00 Per Day,$11.62k,$11.62k Per Day,(0%),(95.35%),(4.65%),$86.22k,$6.62 Per Day,$82.94k,$11.85k Per Day,(0.05%),(96.2%),(3.75%),$544.98k,$5.53 Per Day,$525.26k,$17.51k Per Day,(0.03%),(96.38%),(3.59%),$2.41m,$28.33 Per Day,$2.24m,$24.90k Per Day,(0.11%),(92.95%),(6.94%),$4.35m,$46.13 Per Day,$4.10m,$22.80k Per Day,(0.19%),(94.36%),(5.45%)
David Baker Store,BRAND,05/28/2024,$4.25k,$0.00 Per Day,$4.25k,$4.25k Per Day,(0%),(100%),(0%),$55.87k,$0.00 Per Day,$55.72k,$7.96k Per Day,(0%),(99.74%),(0.26%),$560.67k,$0.00 Per Day,$560.52k,$18.68k Per Day,(0%),(99.97%),(0.03%),$862.17k,$0.00 Per Day,$822.36k,$9.14k Per Day,(0%),(95.38%),(4.62%),$867.72k,$0.00 Per Day,$825.55k,$8.17k Per Day,(0%),(95.14%),(4.86%)
L'ange Hair,RETAILER,04/05/2024,$10.76k,$1.26k Per Day,$8.79k,$8.79k Per Day,(11.68%),(81.65%),(6.66%),$86.69k,$179.60 Per Day,$77.05k,$11.01k Per Day,(1.45%),(88.88%),(9.67%),$564.26k,$877.82 Per Day,$485.39k,$16.18k Per Day,(4.67%),(86.02%),(9.31%),$1.94m,$596.90 Per Day,$1.57m,$17.47k Per Day,(2.77%),(81.05%),(16.18%),$2.84m,$485.79 Per Day,$2.10m,$13.67k Per Day,(2.63%),(74%),(23.37%)
Jardin d'Orga,BRAND,10/30/2023,$12.75k,$0.00 Per Day,$12.22k,$12.22k Per Day,(0%),(95.86%),(4.14%),$102.63k,$0.00 Per Day,$97.57k,$13.94k Per Day,(0%),(95.07%),(4.93%),$557.11k,$0.00 Per Day,$517.48k,$17.25k Per Day,(0%),(92.89%),(7.11%),$1.48m,$0.00 Per Day,$1.32m,$14.61k Per Day,(0%),(88.78%),(11.22%),$2.85m,$0.00 Per Day,$2.66m,$14.79k Per Day,(0%),(93.37%),(6.63%)
OQQ-Nine cents,RETAILER,10/21/2023,$12.54k,$190.09 Per Day,$11.99k,$11.99k Per Day,(1.52%),(95.58%),(2.9%),$83.33k,$1.01k Per Day,$75.36k,$10.77k Per Day,(8.51%),(90.44%),(1.05%),$542.89k,$2.01k Per Day,$475.12k,$15.84k Per Day,(11.13%),(87.52%),(1.35%),$2.34m,$3.94k Per Day,$1.87m,$20.79k Per Day,(15.13%),(79.83%),(5.04%),$3.62m,$2.48k Per Day,$2.95m,$16.39k Per Day,(12.32%),(81.52%),(6.17%)
NBQR,RETAILER,05/16/2024,$19.49k,$0.00 Per Day,$19.01k,$19.01k Per Day,(0%),(97.55%),(2.45%),$143.61k,$0.00 Per Day,$141.23k,$20.18k Per Day,(0%),(98.34%),(1.66%),$569.62k,$0.00 Per Day,$556.63k,$18.55k Per Day,(0%),(97.72%),(2.28%),$832.43k,$0.00 Per Day,$802.62k,$8.92k Per Day,(0%),(96.42%),(3.58%),$833.71k,$0.00 Per Day,$802.87k,$7.50k Per Day,(0%),(96.3%),(3.7%)
