shop_name,shop_type,shop_earliest_date_recorded,shop_soa_revenue_Yesterday,shop_soa_revenue_per_day_Yesterday,shop_affiliate_revenue_Yesterday,shop_affiliate_revenue_per_day_Yesterday,shop_soa_revenue_share_Yesterday,shop_aff_revenue_share_Yesterday,shop_mall_revenue_share_Yesterday,shop_soa_revenue_Last 7 Days,shop_soa_revenue_per_day_Last 7 Days,shop_affiliate_revenue_Last 7 Days,shop_affiliate_revenue_per_day_Last 7 Days,shop_soa_revenue_share_Last 7 Days,shop_aff_revenue_share_Last 7 Days,shop_mall_revenue_share_Last 7 Days,shop_soa_revenue_Last 30 Days,shop_soa_revenue_per_day_Last 30 Days,shop_affiliate_revenue_Last 30 Days,shop_affiliate_revenue_per_day_Last 30 Days,shop_soa_revenue_share_Last 30 Days,shop_aff_revenue_share_Last 30 Days,shop_mall_revenue_share_Last 30 Days,shop_soa_revenue_Last 90 Days,shop_soa_revenue_per_day_Last 90 Days,shop_affiliate_revenue_Last 90 Days,shop_affiliate_revenue_per_day_Last 90 Days,shop_soa_revenue_share_Last 90 Days,shop_aff_revenue_share_Last 90 Days,shop_mall_revenue_share_Last 90 Days,shop_soa_revenue_Last 180 Days,shop_soa_revenue_per_day_Last 180 Days,shop_affiliate_revenue_Last 180 Days,shop_affiliate_revenue_per_day_Last 180 Days,shop_soa_revenue_share_Last 180 Days,shop_aff_revenue_share_Last 180 Days,shop_mall_revenue_share_Last 180 Days
uCoolMe Lashes,BRAND,10/27/2023,$29.12k,$41.98 Per Day,$28.18k,$28.18k Per Day,(0.14%),(96.75%),(3.1%),$262.46k,$38.98 Per Day,$254.47k,$36.35k Per Day,(0.1%),(96.95%),(2.94%),$1.26m,$27.30 Per Day,$1.23m,$40.95k Per Day,(0.06%),(97.45%),(2.49%),$3.22m,$17.32 Per Day,$2.97m,$33.02k Per Day,(0.05%),(92.3%),(7.65%),$5.33m,$8.66 Per Day,$4.92m,$27.33k Per Day,(0.03%),(92.35%),(7.62%)
Fanttik,BRAND,08/02/2023,$22.77k,$419.85 Per Day,$21.79k,$21.79k Per Day,(1.84%),(95.7%),(2.46%),$177.70k,$634.04 Per Day,$170.32k,$24.33k Per Day,(2.5%),(95.84%),(1.66%),$1.25m,$2.58k Per Day,$1.16m,$38.68k Per Day,(6.2%),(92.92%),(0.88%),$3.92m,$3.76k Per Day,$3.41m,$37.92k Per Day,(8.62%),(87.06%),(4.32%),$6.89m,$4.94k Per Day,$5.55m,$30.85k Per Day,(12.89%),(80.59%),(6.52%)
Kali Rose Boutique,BRAND,07/21/2023,$19.42k,$5.94k Per Day,$11.08k,$11.08k Per Day,(30.57%),(57.06%),(12.37%),$243.33k,$13.28k Per Day,$118.16k,$16.88k Per Day,(38.21%),(48.56%),(13.23%),$1.24m,$13.34k Per Day,$639.04k,$21.30k Per Day,(32.24%),(51.47%),(16.28%),$3.67m,$10.27k Per Day,$1.87m,$20.75k Per Day,(25.2%),(50.91%),(23.89%),$9.32m,$13.12k Per Day,$4.88m,$27.10k Per Day,(25.34%),(52.34%),(22.33%)
WAKE CLOTHING,RETAILER,04/07/2024,$35.90k,$0.00 Per Day,$35.33k,$35.33k Per Day,(0%),(98.39%),(1.61%),$283.46k,$0.00 Per Day,$279.38k,$39.91k Per Day,(0%),(98.56%),(1.44%),$1.22m,$0.00 Per Day,$1.18m,$39.34k Per Day,(0%),(97.02%),(2.98%),$2.33m,$0.00 Per Day,$2.15m,$23.84k Per Day,(0%),(92.04%),(7.96%),$2.76m,$0.00 Per Day,$2.52m,$16.66k Per Day,(0%),(91.18%),(8.82%)
LICHICO,BRAND,03/01/2024,$26.53k,$638.00 Per Day,$25.90k,$25.90k Per Day,(2.4%),(97.6%),(0%),$207.24k,$2.08k Per Day,$187.08k,$26.73k Per Day,(7.04%),(90.27%),(2.69%),$1.22m,$2.18k Per Day,$1.12m,$37.29k Per Day,(5.38%),(92.06%),(2.55%),$4.04m,$834.11 Per Day,$3.55m,$39.49k Per Day,(1.86%),(87.91%),(10.24%),$5.12m,$417.05 Per Day,$3.90m,$21.68k Per Day,(1.47%),(76.18%),(22.35%)
Fitnessathome,RETAILER,10/06/2023,$32.82k,$17.86k Per Day,$14.96k,$14.96k Per Day,(54.41%),(45.59%),(0%),$247.37k,$21.21k Per Day,$98.58k,$14.08k Per Day,(60.01%),(39.85%),(0.14%),$1.21m,$27.91k Per Day,$372.10k,$12.40k Per Day,(68.98%),(30.66%),(0.36%),$7.18m,$13.92k Per Day,$4.59m,$51.05k Per Day,(17.44%),(63.99%),(18.57%),$11.71m,$6.96k Per Day,$8.87m,$49.30k Per Day,(10.7%),(75.79%),(13.51%)
Zoyava,BRAND,09/29/2023,$49.96k,$4.05k Per Day,$41.55k,$41.55k Per Day,(8.12%),(83.18%),(8.7%),$301.29k,$3.36k Per Day,$249.96k,$35.71k Per Day,(7.8%),(82.96%),(9.24%),$1.21m,$3.93k Per Day,$1.00m,$33.41k Per Day,(9.72%),(82.68%),(7.6%),$2.91m,$3.43k Per Day,$2.28m,$25.32k Per Day,(10.62%),(78.35%),(11.03%),$7.23m,$5.09k Per Day,$5.78m,$32.09k Per Day,(12.69%),(79.92%),(7.39%)
ToLife US,RETAILER,12/12/2023,$16.03k,$0.00 Per Day,$13.66k,$13.66k Per Day,(0%),(85.2%),(14.8%),$144.49k,$0.00 Per Day,$127.82k,$18.26k Per Day,(0%),(88.46%),(11.54%),$1.18m,$85.08 Per Day,$1.02m,$34.03k Per Day,(0.22%),(86.8%),(12.98%),$1.98m,$41.71 Per Day,$1.76m,$19.52k Per Day,(0.19%),(88.56%),(11.25%),$3.42m,$20.86 Per Day,$3.13m,$17.39k Per Day,(0.11%),(91.49%),(8.4%)
Ruimai Technology,RETAILER,05/03/2024,$5.18k,$0.00 Per Day,$5.18k,$5.18k Per Day,(0%),(100%),(0%),$61.17k,$0.00 Per Day,$61.17k,$8.74k Per Day,(0%),(100%),(0%),$1.17m,$0.00 Per Day,$1.17m,$38.94k Per Day,(0%),(99.95%),(0.05%),$4.02m,$0.00 Per Day,$3.86m,$42.94k Per Day,(0%),(96.16%),(3.84%),$4.02m,$0.00 Per Day,$3.86m,$30.92k Per Day,(0%),(96.13%),(3.87%)
The Ordinary Store,RETAILER,09/01/2023,$33.51k,$19.89 Per Day,$32.47k,$32.47k Per Day,(0.06%),(96.92%),(3.02%),$232.60k,$25.05 Per Day,$227.05k,$32.44k Per Day,(0.08%),(97.61%),(2.31%),$1.15m,$37.65 Per Day,$1.11m,$37.02k Per Day,(0.1%),(96.36%),(3.55%),$7.53m,$1.50k Per Day,$6.86m,$76.26k Per Day,(1.79%),(91.09%),(7.12%),$12.02m,$1.43k Per Day,$11.05m,$61.40k Per Day,(2.14%),(91.96%),(5.9%)
