video_title,video_tags,video_music_info,video_publish_date,video_duration,video_advertising_information,video_earliest_date_recorded,video_views_yesterday,video_views_per_day_yesterday,item_sold_yesterday,item_sold_per_day_yesterday,video_revenue_yesterday,video_revenue_per_day_yesterday,video_new_followers_yesterday,video_new_followers_per_day_yesterday,video_ad_view_ratio_yesterday,video_ad_revenue_ratio_yesterday,video_ad_spend_yesterday,video_ad_roas_yesterday,video_views_last_7_days,video_views_per_day_last_7_days,item_sold_last_7_days,item_sold_per_day_last_7_days,video_revenue_last_7_days,video_revenue_per_day_last_7_days,video_new_followers_last_7_days,video_new_followers_per_day_last_7_days,video_ad_view_ratio_last_7_days,video_ad_revenue_ratio_last_7_days,video_ad_spend_last_7_days,video_ad_roas_last_7_days,video_views_last_30_days,video_views_per_day_last_30_days,item_sold_last_30_days,item_sold_per_day_last_30_days,video_revenue_last_30_days,video_revenue_per_day_last_30_days,video_new_followers_last_30_days,video_new_followers_per_day_last_30_days,video_ad_view_ratio_last_30_days,video_ad_revenue_ratio_last_30_days,video_ad_spend_last_30_days,video_ad_roas_last_30_days,video_views_last_90_days,video_views_per_day_last_90_days,item_sold_last_90_days,item_sold_per_day_last_90_days,video_revenue_last_90_days,video_revenue_per_day_last_90_days,video_new_followers_last_90_days,video_new_followers_per_day_last_90_days,video_ad_view_ratio_last_90_days,video_ad_revenue_ratio_last_90_days,video_ad_spend_last_90_days,video_ad_roas_last_90_days,video_views_last_180_days,video_views_per_day_last_180_days,item_sold_last_180_days,item_sold_per_day_last_180_days,video_revenue_last_180_days,video_revenue_per_day_last_180_days,video_new_followers_last_180_days,video_new_followers_per_day_last_180_days,video_ad_view_ratio_last_180_days,video_ad_revenue_ratio_last_180_days,video_ad_spend_last_180_days,video_ad_roas_last_180_days
Cut it or keep it?👀 folllow for hair tutorials !,#b2swithwavytalk #bighair #curlyhair #curlytostraight #easyhairstyles #hairgoals #hairstyle #hairstyles #hairtutorial #longhair #shinyhair #straighteningcurlyhair #straighteninghair #tiktokshopbacktoschool,original sound - danielleathena,"Aug 6, 2024",1m 57s,19 Days (2024-08-07 - 2024-09-04),08/06/2024,317.23k,317.23k Per Day,218,218 Per Day,$8.72k,$8.72k Per Day,492,492 Per Day,>90%,>90%,$4.54k,1.92,1.26m,180.5k Per Day,1.07k,152.43 Per Day,$42.67k,$6.10k Per Day,4.47k,639.14 Per Day,46.07%,35.71%,$14.08k,1.08,25.92m,863.84k Per Day,15.97k,532.3 Per Day,$624.71k,$20.82k Per Day,33.06k,1.1k Per Day,>90%,>90%,$433.04k,1.32,25.92m,287.95k Per Day,15.97k,177.43 Per Day,$624.71k,$6.94k Per Day,33.06k,367.34 Per Day,>90%,>90%,$433.04k,1.32,25.92m,143.97k Per Day,15.97k,88.72 Per Day,$624.71k,$3.47k Per Day,33.06k,183.67 Per Day,>90%,>90%,$433.04k,1.32
The Lenovo XP2s are TAKING OVER!,#earbuds #earphones #headphones #lenovoxp2 #tiktokshopdeals,original sound - Dad Just Living The Dream,"Aug 5, 2024",1m 8s,2 Days (2024-08-23 - 2024-08-24),08/05/2024,23.59m,786.18k Per Day,18.49k,616.17 Per Day,$529.33k,$17.64k Per Day,21.66k,722.13 Per Day,3.52%,0%,$15.97k,0,23.59m,786.18k Per Day,18.49k,616.17 Per Day,$529.33k,$17.64k Per Day,21.66k,722.13 Per Day,3.52%,0%,$15.97k,0,23.59m,786.18k Per Day,18.49k,616.17 Per Day,$529.33k,$17.64k Per Day,21.66k,722.13 Per Day,3.52%,0%,$15.97k,0,24.92m,276.84k Per Day,20.12k,223.54 Per Day,$578.33k,$6.43k Per Day,21.66k,240.71 Per Day,3.33%,0%,$15.97k,0,24.92m,138.42k Per Day,20.12k,111.77 Per Day,$578.33k,$3.21k Per Day,21.66k,120.36 Per Day,3.33%,0%,$15.97k,0
The shaver for your needs and christmas gifts!! Stockingstuffers too!,#christmasgift #christmasgiftideas #christmastiktok #electricshaver #stockingstuffers #tiktokfind #womensrazor #womensshaver,original sound - jenna_seas,"Aug 17, 2024",1m 15s,No record of Advertising placement was found,08/17/2024,285.24k,285.24k Per Day,277,277 Per Day,$4.70k,$4.70k Per Day,285,285 Per Day,0%,0%,$0.00,0,1.74m,248.25k Per Day,2.06k,294.43 Per Day,$37.60k,$5.37k Per Day,1.65k,235.71 Per Day,0%,0%,$0.00,0,25.19m,839.57k Per Day,23.66k,788.77 Per Day,$404.40k,$13.48k Per Day,12.91k,430.47 Per Day,0%,0%,$0.00,0,25.19m,279.86k Per Day,23.66k,262.92 Per Day,$404.40k,$4.49k Per Day,12.91k,143.49 Per Day,0%,0%,$0.00,0,25.19m,139.93k Per Day,23.66k,131.46 Per Day,$404.40k,$2.25k Per Day,12.91k,71.74 Per Day,0%,0%,$0.00,0
If it aint KSM66 i dont want it,#ashwagandha #goli,original sound - ibuycoolstuff,"Aug 7, 2024",50s,8 Days (2024-08-22 - 2024-09-02),08/07/2024,36.9k,36.9k Per Day,63,63 Per Day,$835.38,$835.38 Per Day,30,30 Per Day,0%,0%,$0.00,0,757.85k,108.26k Per Day,1.16k,165.57 Per Day,$16.01k,$2.29k Per Day,120,17.14 Per Day,89.39%,>90%,$13.40k,1.11,25.8m,859.99k Per Day,27.79k,926.4 Per Day,$379.70k,$12.66k Per Day,23.69k,789.57 Per Day,27.17%,32.01%,$137.40k,0.88,25.8m,286.66k Per Day,27.79k,308.8 Per Day,$379.70k,$4.22k Per Day,23.69k,263.19 Per Day,27.17%,32.01%,$137.40k,0.88,25.8m,143.33k Per Day,27.79k,154.4 Per Day,$379.70k,$2.11k Per Day,23.69k,131.59 Per Day,27.17%,32.01%,$137.40k,0.88
Replying to @user#1loving5u we appreciate the question! Hope this answers some of yalls question 🫶🏼,N/A,"Aug 15, 2024",N/A,N/A,N/A,08/15/2024,781.24k,781.24k Per Day,586,586 Per Day,$7.61k,$7.61k Per Day,1.38k,1.38k Per Day,0%,0%,$0.00,0,4.47m,638.78k Per Day,3.64k,519.57 Per Day,$48.04k,$6.86k Per Day,13.98k,2k Per Day,0%,0%,$0.00,0,41.6m,1.39m Per Day,26.16k,871.87 Per Day,$353.02k,$11.77k Per Day,141.78k,4.73k Per Day,64.37%,53.31%,$415.00k,0.45,41.6m,462.23k Per Day,26.16k,290.62 Per Day,$353.02k,$3.92k Per Day,141.78k,1.58k Per Day,64.37%,53.31%,$415.00k,0.45,41.6m,231.11k Per Day,26.16k,145.31 Per Day,$353.02k,$1.96k Per Day,141.78k,787.69 Per Day,64.37%,53.31%,$415.00k,0.45
"Body odor, bad breath, hair loss or thinning, puffy moonfaces or annoying flupas, brain fog, trouble remembering things, trouble in the bathroom, are all possible signs of having high cortisol. These are my favorite drink packets that I have been using to help me lower my cortisol!",#ashwagandha #cortisol #cortisollevels #highcortisol #highcortisollevels #highcortisolsymptoms #supplementsforwomen #vitamind3,original sound - bellswellness,"Aug 6, 2024",48s,No record of Advertising placement was found,08/06/2024,154.8k,154.8k Per Day,60,60 Per Day,$1.80k,$1.80k Per Day,296,296 Per Day,0%,0%,$0.00,0,472.26k,67.47k Per Day,218,31.14 Per Day,$6.53k,$933.35 Per Day,1.42k,202.14 Per Day,0%,0%,$0.00,0,11.21m,373.8k Per Day,9.04k,301.27 Per Day,$336.25k,$11.21k Per Day,11.89k,396.17 Per Day,0%,0%,$0.00,0,11.21m,124.6k Per Day,9.04k,100.42 Per Day,$336.25k,$3.74k Per Day,11.89k,132.06 Per Day,0%,0%,$0.00,0,11.21m,62.3k Per Day,9.04k,50.21 Per Day,$336.25k,$1.87k Per Day,11.89k,66.03 Per Day,0%,0%,$0.00,0
These leggings didn’t go viral for nothing👀 @Halara_official,#halara #halaraleggings #halaratiktokshop #momhacks #momsoftiktok #momtok #tummycontrol,original sound - alohaitzkiana,"Aug 10, 2024",1m 24s,11 Days (2024-08-13 - 2024-08-29),08/10/2024,167.55k,167.55k Per Day,133,133 Per Day,$3.91k,$3.91k Per Day,49,49 Per Day,0%,0%,$0.00,0,1.81m,258.5k Per Day,926,132.29 Per Day,$27.07k,$3.87k Per Day,586,83.71 Per Day,79.97%,62.60%,$39.10k,0.43,12.77m,425.78k Per Day,9.9k,330.03 Per Day,$283.75k,$9.46k Per Day,9.14k,304.67 Per Day,88.78%,84.77%,$290.68k,0.83,12.77m,141.93k Per Day,9.9k,110.01 Per Day,$283.75k,$3.15k Per Day,9.14k,101.56 Per Day,88.78%,84.77%,$290.68k,0.83,12.77m,70.96k Per Day,9.9k,55.01 Per Day,$283.75k,$1.58k Per Day,9.14k,50.78 Per Day,88.78%,84.77%,$290.68k,0.83
MUST HAVE FOR BLUE COLLAR WORKERS!!,#bluecollarboys #bluecollarjobs #bluecollarlife #bluecollarworker #bluecollarworkers #constructioncheck #constructionlifebaby #constructionlife💪👷‍♂️ #constructionworker #personalfan #portablefan #tiktokshopbacktoschool,original sound - Sheri,"Aug 5, 2024",54s,10 Days (2024-08-26 - 2024-09-04),08/05/2024,89.96k,89.96k Per Day,26,26 Per Day,$561.34,$561.34 Per Day,87,87 Per Day,>90%,>90%,$797.81,0.7,1.39m,198.96k Per Day,707,101 Per Day,$15.26k,$2.18k Per Day,1.47k,210.14 Per Day,>90%,>90%,$15.18k,1.01,30.11m,1m Per Day,17.23k,574.37 Per Day,$279.03k,$9.30k Per Day,18.48k,615.93 Per Day,6.69%,8.51%,$22.86k,1.04,30.15m,335.03k Per Day,17.28k,192 Per Day,$279.83k,$3.11k Per Day,18.48k,205.31 Per Day,6.68%,8.49%,$22.86k,1.04,30.15m,167.52k Per Day,17.28k,96 Per Day,$279.83k,$1.55k Per Day,18.48k,102.66 Per Day,6.68%,8.49%,$22.86k,1.04
Replying to @Dennis Ho It comes with three different sound/suction levels! You can train your dog in no time! I like this one the best!,#catgrooming #cats #dogbrushing #doggroomer #doggrooming #dogs #dogsoftiktok #dogvacuum #hair #spring #springclean #springcleaning #vacuum,original sound - k9_unit_369,"Apr 9, 2024",56s,36 Days (2024-04-10 - 2024-09-02),05/23/2024,72.59k,72.59k Per Day,44,44 Per Day,$2.81k,$2.81k Per Day,0,0 Per Day,0%,0%,$0.00,0,569.45k,81.35k Per Day,548,78.29 Per Day,$35.01k,$5.00k Per Day,8,1.14 Per Day,17.64%,16.06%,$2.37k,2.37,3.25m,108.29k Per Day,4.35k,145 Per Day,$277.92k,$9.26k Per Day,8,0.27 Per Day,65.27%,70.99%,$44.11k,4.47,7.71m,85.62k Per Day,8.01k,89.01 Per Day,$483.12k,$5.37k Per Day,87.45k,971.62 Per Day,66.52%,61.57%,$118.89k,2.5,12.51m,69.51k Per Day,9.33k,51.82 Per Day,$561.87k,$3.12k Per Day,181.72k,1.01k Per Day,76.70%,61.91%,$214.26k,1.62
I cant stop cleaning??? @Dawn and Dusk,#cleantok #mop #steam #steammop,original sound - Nicole | mamahood,"Aug 20, 2024",1m 5s,12 Days (2024-08-23 - 2024-09-04),08/20/2024,1.07m,1.07m Per Day,295,295 Per Day,$26.55k,$26.55k Per Day,327,327 Per Day,>90%,>90%,$25.08k,1.06,11.16m,1.59m Per Day,2.38k,340.29 Per Day,$221.37k,$31.62k Per Day,2.01k,287.71 Per Day,>90%,>90%,$274.77k,0.81,13.68m,455.89k Per Day,2.84k,94.5 Per Day,$266.66k,$8.89k Per Day,2.62k,87.47 Per Day,>90%,>90%,$333.28k,0.78,13.68m,151.96k Per Day,2.84k,31.5 Per Day,$266.66k,$2.96k Per Day,2.62k,29.16 Per Day,>90%,>90%,$333.28k,0.78,13.68m,75.98k Per Day,2.84k,15.75 Per Day,$266.66k,$1.48k Per Day,2.62k,14.58 Per Day,>90%,>90%,$333.28k,0.78
Replying to @keykee nello super calm has been a game changer.,#cortisol #cortisolbelly #cortisolcontrol #cortisolimbalance #cortisollevels #cortisolmanagement #hollistichealth #momlife,original sound - (the real)sejoyss❤,"Jul 16, 2024",27s,No record of Advertising placement was found,07/16/2024,10.97k,10.97k Per Day,8,8 Per Day,$239.76,$239.76 Per Day,7,7 Per Day,0%,0%,$0.00,0,203.54k,29.08k Per Day,286,40.86 Per Day,$8.57k,$1.22k Per Day,121,17.29 Per Day,0%,0%,$0.00,0,2.79m,92.95k Per Day,7.01k,233.73 Per Day,$262.32k,$8.74k Per Day,1.86k,61.9 Per Day,0%,0%,$0.00,0,5.98m,66.4k Per Day,10.97k,121.93 Per Day,$398.99k,$4.43k Per Day,4.47k,49.69 Per Day,0%,0%,$0.00,0,5.98m,33.2k Per Day,10.97k,60.97 Per Day,$398.99k,$2.22k Per Day,4.47k,24.84 Per Day,0%,0%,$0.00,0
,N/A,"Aug 2, 2024",N/A,N/A,N/A,08/02/2024,35.26k,35.26k Per Day,14,14 Per Day,$419.58,$419.58 Per Day,17,17 Per Day,0%,0%,$0.00,0,323.24k,46.18k Per Day,168,24 Per Day,$5.03k,$719.28 Per Day,117,16.71 Per Day,0%,0%,$0.00,0,9m,300.04k Per Day,6.75k,224.93 Per Day,$254.07k,$8.47k Per Day,2.12k,70.7 Per Day,0%,0%,$0.00,0,10.02m,111.3k Per Day,7.3k,81.08 Per Day,$277.13k,$3.08k Per Day,2.24k,24.84 Per Day,0%,0%,$0.00,0,10.02m,55.65k Per Day,7.3k,40.54 Per Day,$277.13k,$1.54k Per Day,2.24k,12.42 Per Day,0%,0%,$0.00,0
He can’t get enough of this massager! You’re welcome babe 💋,#buyitnow #holidaysale #neckmassage #nekteck #newyearnewme #selfcare #shiatsumassage #tiktokmakemebuyit #tiktokshop,Sky Aesthetic,"Dec 22, 2023",41s,180 Days (2024-01-13 - 2024-09-04),01/12/2024,57.01k,57.01k Per Day,52,52 Per Day,$2.39k,$2.39k Per Day,8,8 Per Day,>90%,>90%,$649.00,3.68,1.04m,148.52k Per Day,948,135.43 Per Day,$43.60k,$6.23k Per Day,122,17.43 Per Day,>90%,>90%,$13.34k,3.27,5.75m,191.72k Per Day,5.52k,184.13 Per Day,$254.05k,$8.47k Per Day,595,19.83 Per Day,>90%,>90%,$123.97k,2.05,10.34m,114.91k Per Day,9.78k,108.61 Per Day,$446.47k,$4.96k Per Day,1.26k,13.98 Per Day,>90%,>90%,$252.11k,1.77,17.5m,97.24k Per Day,15k,83.33 Per Day,$584.93k,$3.25k Per Day,2.35k,13.06 Per Day,>90%,>90%,$453.76k,1.28
,#9drawerdresser #drawerdresser #dresser #flashsale #foryou #furniture #homefurniture #tiktokshop,original sound - c.ooli,"Aug 6, 2024",22s,1 Days (2024-08-08 - 2024-08-08),08/06/2024,9.13m,304.44k Per Day,3.99k,132.83 Per Day,$247.03k,$8.23k Per Day,1.59k,52.97 Per Day,15.18%,24.52%,$29.54k,2.05,350.06k,50.01k Per Day,87,12.43 Per Day,$5.39k,$770.45 Per Day,163,23.29 Per Day,0%,0%,$0.00,0,9.13m,304.44k Per Day,3.99k,132.83 Per Day,$247.03k,$8.23k Per Day,1.59k,52.97 Per Day,15.18%,24.52%,$29.54k,2.05,9.13m,101.48k Per Day,3.99k,44.28 Per Day,$247.03k,$2.74k Per Day,1.59k,17.66 Per Day,15.18%,24.52%,$29.54k,2.05,9.13m,50.74k Per Day,3.99k,22.14 Per Day,$247.03k,$1.37k Per Day,1.59k,8.83 Per Day,15.18%,24.52%,$29.54k,2.05
@CAKES body,#cakesbody #dealsforyoudays #freeshipping #nobra #summerfashion #tiktokshop #womensfashion,original sound - navigatinglifeover50,"Jul 7, 2024",47s,40 Days (2024-07-21 - 2024-08-29),07/06/2024,14.21k,14.21k Per Day,25,25 Per Day,$650.00,$650.00 Per Day,1,1 Per Day,0%,0%,$0.00,0,103.61k,14.8k Per Day,163,23.29 Per Day,$4.53k,$646.57 Per Day,40,5.71 Per Day,24.33%,22.54%,$792.18,1.29,6.33m,211.01k Per Day,8.72k,290.57 Per Day,$241.86k,$8.06k Per Day,954,31.8 Per Day,>90%,>90%,$175.69k,1.36,18.02m,200.18k Per Day,26.15k,290.58 Per Day,$744.43k,$8.27k Per Day,3.34k,37.13 Per Day,67.03%,59.19%,$346.90k,1.27,18.02m,100.09k Per Day,26.15k,145.29 Per Day,$744.43k,$4.14k Per Day,3.34k,18.57 Per Day,67.03%,59.19%,$346.90k,1.27
you can save your blue color man by this waist fan. He will thank you at home,#bluecollar #contruction #fyp #gadget #portablewaistfan,original sound - Morgan Wallen,"Jul 17, 2024",13s,7 Days (2024-08-23 - 2024-09-02),07/17/2024,19.21k,19.21k Per Day,6,6 Per Day,$129.54,$129.54 Per Day,28,28 Per Day,0%,0%,$0.00,0,348.08k,49.73k Per Day,158,22.57 Per Day,$3.41k,$487.32 Per Day,286,40.86 Per Day,81.93%,82.91%,$3.28k,0.86,21.82m,727.47k Per Day,14.34k,478.1 Per Day,$224.52k,$7.48k Per Day,11.22k,374.03 Per Day,2.80%,2.83%,$7.16k,0.89,42.37m,470.81k Per Day,26.95k,299.47 Per Day,$421.69k,$4.69k Per Day,11.61k,128.96 Per Day,1.44%,1.51%,$7.16k,0.89,42.37m,235.4k Per Day,26.95k,149.73 Per Day,$421.69k,$2.34k Per Day,11.61k,64.48 Per Day,1.44%,1.51%,$7.16k,0.89
Replying to @linettegarcia2525 I always get ID’d everywhere it’s a part of being youthful unfortunately 😅😅,#acne #acnetreatment #koreanskincare #skincare #skincareroutine #tiktokshop #ttshop,original sound - mssydneyy,"Jun 21, 2024",1m 44s,No record of Advertising placement was found,07/02/2024,39.18k,39.18k Per Day,34,34 Per Day,$2.69k,$2.69k Per Day,160,160 Per Day,0%,0%,$0.00,0,362.72k,51.82k Per Day,412,58.86 Per Day,$32.55k,$4.65k Per Day,1.52k,217.29 Per Day,0%,0%,$0.00,0,2.97m,98.92k Per Day,2.73k,90.87 Per Day,$215.35k,$7.18k Per Day,17.54k,584.67 Per Day,0%,0%,$0.00,0,13.2m,146.69k Per Day,7.88k,87.57 Per Day,$622.60k,$6.92k Per Day,44.22k,491.31 Per Day,0%,0%,$0.00,0,13.2m,73.35k Per Day,7.88k,43.78 Per Day,$622.60k,$3.46k Per Day,44.22k,245.66 Per Day,0%,0%,$0.00,0
Replying to @jcdub told yall. Best drying towel on tiktok,#autodetailing #blackline #dryingtowel,original sound - themrusa,"Apr 2, 2024",11s,44 Days (2024-06-26 - 2024-09-04),04/02/2024,47.39k,47.39k Per Day,60,60 Per Day,$2.22k,$2.22k Per Day,5,5 Per Day,>90%,>90%,$2.03k,1.09,422.72k,60.39k Per Day,736,105.14 Per Day,$27.22k,$3.89k Per Day,172,24.57 Per Day,>90%,>90%,$18.15k,1.5,6.03m,200.92k Per Day,5.72k,190.53 Per Day,$212.19k,$7.07k Per Day,1.09k,36.3 Per Day,>90%,>90%,$258.78k,0.82,7.01m,77.88k Per Day,7.43k,82.58 Per Day,$296.15k,$3.29k Per Day,1.59k,17.64 Per Day,>90%,85.06%,$285.11k,0.88,11.16m,62.02k Per Day,10.97k,60.93 Per Day,$458.04k,$2.54k Per Day,3.16k,17.53 Per Day,58.99%,54.99%,$285.11k,0.88
In Earbud Taking Over Tiktok! Lenovo XP2,#earbuds #earphones #headphones #lenovoxp2 #tiktokshopdeals,original sound - Dad Just Living The Dream,"Aug 6, 2024",1m 1s,2 Days (2024-08-20 - 2024-08-21),08/06/2024,8.67m,288.95k Per Day,7.28k,242.57 Per Day,$209.65k,$6.99k Per Day,21.66k,722.13 Per Day,7.28%,0%,$11.47k,0,8.67m,288.95k Per Day,7.28k,242.57 Per Day,$209.65k,$6.99k Per Day,21.66k,722.13 Per Day,7.28%,0%,$11.47k,0,8.67m,288.95k Per Day,7.28k,242.57 Per Day,$209.65k,$6.99k Per Day,21.66k,722.13 Per Day,7.28%,0%,$11.47k,0,8.67m,96.32k Per Day,7.28k,80.86 Per Day,$209.65k,$2.33k Per Day,21.66k,240.71 Per Day,7.28%,0%,$11.47k,0,8.67m,48.16k Per Day,7.28k,40.43 Per Day,$209.65k,$1.16k Per Day,21.66k,120.36 Per Day,7.28%,0%,$11.47k,0
OBSESSED! Yall need these!,#2pieceset #loungewear #musthaves,original sound - staygoldlex,"Aug 20, 2024",1m,No record of Advertising placement was found,08/20/2024,280.4k,280.4k Per Day,139,139 Per Day,$5.20k,$5.20k Per Day,479,479 Per Day,0%,0%,$0.00,0,3.69m,526.98k Per Day,2.02k,288.14 Per Day,$75.42k,$10.77k Per Day,4.72k,674.29 Per Day,0%,0%,$0.00,0,9.49m,316.19k Per Day,5.48k,182.67 Per Day,$204.90k,$6.83k Per Day,10.55k,351.53 Per Day,0%,0%,$0.00,0,9.49m,105.4k Per Day,5.48k,60.89 Per Day,$204.90k,$2.28k Per Day,10.55k,117.18 Per Day,0%,0%,$0.00,0,9.49m,52.7k Per Day,5.48k,30.44 Per Day,$204.90k,$1.14k Per Day,10.55k,58.59 Per Day,0%,0%,$0.00,0
@Triquetra Flora Biome has been a game changer for my husband and myself ! . We have both been on it for 4 months now and the changes have been incredible! . And the best part is its on super sale right now ! Click the orange cart and stock up! .,#acidreflux #acidrefluxremedy #florabiome #gerd #guthealth #guttok #postbiotics #prebiotics #probiotics,original sound - authenticallythrive,"Mar 26, 2024",54s,125 Days (2024-04-26 - 2024-09-04),04/12/2024,71.12k,71.12k Per Day,116,116 Per Day,$4.26k,$4.26k Per Day,44,44 Per Day,>90%,>90%,$870.50,4.89,402.56k,57.51k Per Day,684,97.71 Per Day,$26.19k,$3.74k Per Day,276,39.43 Per Day,>90%,>90%,$5.86k,4.47,4.93m,164.26k Per Day,4.86k,161.87 Per Day,$200.89k,$6.70k Per Day,1.85k,61.5 Per Day,>90%,>90%,$76.86k,2.61,8.42m,93.56k Per Day,9.72k,108.04 Per Day,$350.69k,$3.90k Per Day,6.19k,68.77 Per Day,>90%,>90%,$154.92k,2.26,9.62m,53.43k Per Day,10.83k,60.18 Per Day,$382.78k,$2.13k Per Day,11.82k,65.69 Per Day,>90%,>90%,$168.46k,2.23
They just restocked some of the sizes check to see if urs is back in stock! @Ekkovision,#ekko #ekkobeaters #ekkovision #gym #gymtok #rushready #shopicons #tanktop #tiktokshopbacktoschool,original sound - Logan Walter,"Aug 15, 2024",1m 16s,6 Days (2024-08-23 - 2024-08-29),08/15/2024,80.32k,80.32k Per Day,74,74 Per Day,$2.45k,$2.45k Per Day,47,47 Per Day,0%,0%,$0.00,0,2.31m,330.02k Per Day,1.66k,237.71 Per Day,$55.87k,$7.98k Per Day,567,81 Per Day,74.50%,60.97%,$36.56k,0.93,10.6m,353.33k Per Day,6.26k,208.53 Per Day,$196.11k,$6.54k Per Day,4.82k,160.57 Per Day,>90%,85.45%,$203.82k,0.82,10.6m,117.78k Per Day,6.26k,69.51 Per Day,$196.11k,$2.18k Per Day,4.82k,53.52 Per Day,>90%,85.45%,$203.82k,0.82,10.6m,58.89k Per Day,6.26k,34.76 Per Day,$196.11k,$1.09k Per Day,4.82k,26.76 Per Day,>90%,85.45%,$203.82k,0.82
,#beanbag #foryou #fypage #greatfinds #tiktokshop #viralbeanbagchair,original sound - mistyharston,"Jun 25, 2024",57s,43 Days (2024-07-09 - 2024-09-03),06/25/2024,8.25k,8.25k Per Day,2,2 Per Day,$378.00,$378.00 Per Day,0,0 Per Day,0%,0%,$0.00,0,456.4k,65.2k Per Day,88,12.57 Per Day,$12.89k,$1.84k Per Day,343,49 Per Day,>90%,>90%,$6.31k,1.98,5.64m,188.07k Per Day,1.43k,47.53 Per Day,$195.56k,$6.52k Per Day,2.6k,86.8 Per Day,>90%,>90%,$79.28k,2.46,6.8m,75.53k Per Day,1.66k,18.46 Per Day,$230.40k,$2.56k Per Day,3.25k,36.16 Per Day,>90%,>90%,$93.21k,2.4,6.8m,37.76k Per Day,1.66k,9.23 Per Day,$230.40k,$1.28k Per Day,3.25k,18.08 Per Day,>90%,>90%,$93.21k,2.4
"The ONLY primer you will ever need! The ONLY primer that will blur every imperfection , fine lines, hyperpigmentation, and dark circles while also tightening your skin! This is a miracle in a bottle! @Peter Thomas Roth Labs my hero!",#beauty #foundationhack #makeupover40 #makeuptok #makeuptutorial #matureskin #matureskinmakeup #skin #skincare #tiktokshopbacktoschool,original sound - Your_Mane_Girl,"Aug 4, 2024",2m 29s,2 Days (2024-08-06 - 2024-08-07),08/04/2024,1.69m,56.2k Per Day,4.62k,153.9 Per Day,$193.65k,$6.46k Per Day,16.15k,538.23 Per Day,34.41%,37.04%,$12.38k,5.79,99.78k,14.25k Per Day,116,16.57 Per Day,$4.87k,$696.00 Per Day,1.53k,218.29 Per Day,0%,0%,$0.00,0,1.69m,56.2k Per Day,4.62k,153.9 Per Day,$193.65k,$6.46k Per Day,16.15k,538.23 Per Day,34.41%,37.04%,$12.38k,5.79,2.09m,23.22k Per Day,5.33k,59.26 Per Day,$223.73k,$2.49k Per Day,16.15k,179.41 Per Day,27.76%,32.06%,$12.38k,5.79,2.09m,11.61k Per Day,5.33k,29.63 Per Day,$223.73k,$1.24k Per Day,16.15k,89.71 Per Day,27.76%,32.06%,$12.38k,5.79
Paint Sprayer for all your DIY paint projects! Grab it while it is on sale and free shopping!,#capcut #diypainting #paintsprayer #shoptiktok #tiktokfinds #tiktokshop,Sounds Like Sales,"Aug 6, 2024",25s,No record of Advertising placement was found,08/06/2024,7.74k,7.74k Per Day,3,3 Per Day,$118.56,$118.56 Per Day,51,51 Per Day,0%,0%,$0.00,0,106.49k,15.21k Per Day,133,19 Per Day,$4.93k,$704.26 Per Day,462,66 Per Day,0%,0%,$0.00,0,4.83m,161.16k Per Day,5.19k,172.93 Per Day,$189.75k,$6.32k Per Day,3.73k,124.17 Per Day,0%,0%,$0.00,0,4.83m,53.72k Per Day,5.19k,57.64 Per Day,$189.75k,$2.11k Per Day,3.73k,41.39 Per Day,0%,0%,$0.00,0,4.83m,26.86k Per Day,5.19k,28.82 Per Day,$189.75k,$1.05k Per Day,3.73k,20.69 Per Day,0%,0%,$0.00,0
Tu sabias eso?,#cortisol #cortisolface #cortisolimbalance #moonface #tiktokmademebuyit #tiktokshopbacktoschool,original sound - lilykappner,"Aug 7, 2024",58s,No record of Advertising placement was found,08/07/2024,14.74k,14.74k Per Day,6,6 Per Day,$179.82,$179.82 Per Day,37,37 Per Day,0%,0%,$0.00,0,157.79k,22.54k Per Day,81,11.57 Per Day,$2.43k,$346.80 Per Day,341,48.71 Per Day,0%,0%,$0.00,0,8.02m,267.26k Per Day,5.11k,170.4 Per Day,$185.46k,$6.18k Per Day,6k,199.9 Per Day,0%,0%,$0.00,0,8.02m,89.09k Per Day,5.11k,56.8 Per Day,$185.46k,$2.06k Per Day,6k,66.63 Per Day,0%,0%,$0.00,0,8.02m,44.54k Per Day,5.11k,28.4 Per Day,$185.46k,$1.03k Per Day,6k,33.32 Per Day,0%,0%,$0.00,0
What are you waiting for?,#blurring #onesize #onesizebeauty,original sound - that_girl_kris,"Mar 25, 2024",1m 4s,17 Days (2024-06-26 - 2024-08-09),03/25/2024,2.37m,79.07k Per Day,5.81k,193.6 Per Day,$181.79k,$6.06k Per Day,1.43k,47.5 Per Day,49.45%,36.69%,$23.69k,2.82,2.93k,418.57 Per Day,20,2.86 Per Day,$571.20,$81.60 Per Day,237,33.86 Per Day,0%,0%,$0.00,0,2.37m,79.07k Per Day,5.81k,193.6 Per Day,$181.79k,$6.06k Per Day,1.43k,47.5 Per Day,49.45%,36.69%,$23.69k,2.82,8.79m,97.67k Per Day,18.02k,200.27 Per Day,$541.42k,$6.02k Per Day,3.85k,42.72 Per Day,67.88%,56.01%,$199.73k,1.52,8.79m,48.84k Per Day,18.02k,100.13 Per Day,$541.42k,$3.01k Per Day,4.49k,24.92 Per Day,67.87%,56.01%,$199.73k,1.52
