video_title,video_tags,video_music_info,video_publish_date,video_duration,video_advertising_information,video_earliest_date_recorded,video_views_yesterday,video_views_per_day_yesterday,item_sold_yesterday,item_sold_per_day_yesterday,video_revenue_yesterday,video_revenue_per_day_yesterday,video_new_followers_yesterday,video_new_followers_per_day_yesterday,video_ad_view_ratio_yesterday,video_ad_revenue_ratio_yesterday,video_ad_spend_yesterday,video_ad_roas_yesterday,video_views_last_7_days,video_views_per_day_last_7_days,item_sold_last_7_days,item_sold_per_day_last_7_days,video_revenue_last_7_days,video_revenue_per_day_last_7_days,video_new_followers_last_7_days,video_new_followers_per_day_last_7_days,video_ad_view_ratio_last_7_days,video_ad_revenue_ratio_last_7_days,video_ad_spend_last_7_days,video_ad_roas_last_7_days,video_views_last_30_days,video_views_per_day_last_30_days,item_sold_last_30_days,item_sold_per_day_last_30_days,video_revenue_last_30_days,video_revenue_per_day_last_30_days,video_new_followers_last_30_days,video_new_followers_per_day_last_30_days,video_ad_view_ratio_last_30_days,video_ad_revenue_ratio_last_30_days,video_ad_spend_last_30_days,video_ad_roas_last_30_days,video_views_last_90_days,video_views_per_day_last_90_days,item_sold_last_90_days,item_sold_per_day_last_90_days,video_revenue_last_90_days,video_revenue_per_day_last_90_days,video_new_followers_last_90_days,video_new_followers_per_day_last_90_days,video_ad_view_ratio_last_90_days,video_ad_revenue_ratio_last_90_days,video_ad_spend_last_90_days,video_ad_roas_last_90_days,video_views_last_180_days,video_views_per_day_last_180_days,item_sold_last_180_days,item_sold_per_day_last_180_days,video_revenue_last_180_days,video_revenue_per_day_last_180_days,video_new_followers_last_180_days,video_new_followers_per_day_last_180_days,video_ad_view_ratio_last_180_days,video_ad_revenue_ratio_last_180_days,video_ad_spend_last_180_days,video_ad_roas_last_180_days
NOW ONLY $7,#chapstick #musthave #theiriswallet #ttshop #viral #wallet,original sound - whalily,"Aug 13, 2024",41s,No record of Advertising placement was found,08/13/2024,87.32k,87.32k Per Day,72,72 Per Day,$648.00,$648.00 Per Day,43,43 Per Day,0%,0%,$0.00,0,638.46k,91.21k Per Day,952,136 Per Day,$8.57k,$1.22k Per Day,309,44.14 Per Day,0%,0%,$0.00,0,9.94m,331.26k Per Day,8.5k,283.23 Per Day,$70.33k,$2.34k Per Day,2.55k,85.07 Per Day,0%,0%,$0.00,0,9.94m,110.42k Per Day,8.5k,94.41 Per Day,$70.33k,$781.42 Per Day,2.55k,28.36 Per Day,0%,0%,$0.00,0,9.94m,55.21k Per Day,8.5k,47.21 Per Day,$70.33k,$390.71 Per Day,2.55k,14.18 Per Day,0%,0%,$0.00,0
Send this to someone who needs it!,#backmassager #foryou #foryoupage #fy #neckmassager #shiatsu #shiatsumassager #summergames #tiktokshopbacktoschool #tiktokshopmademebuyit #viral,original sound - Mariana,"Aug 3, 2024",45s,No record of Advertising placement was found,08/03/2024,3.73k,3.73k Per Day,9,9 Per Day,$287.91,$287.91 Per Day,20,20 Per Day,0%,0%,$0.00,0,113.06k,16.15k Per Day,247,35.29 Per Day,$7.90k,$1.13k Per Day,164,23.43 Per Day,0%,0%,$0.00,0,1.19m,39.55k Per Day,2.2k,73.27 Per Day,$70.31k,$2.34k Per Day,777,25.9 Per Day,0%,0%,$0.00,0,1.19m,13.19k Per Day,2.2k,24.47 Per Day,$70.44k,$782.67 Per Day,777,8.63 Per Day,0%,0%,$0.00,0,1.19m,6.6k Per Day,2.2k,12.23 Per Day,$70.44k,$391.33 Per Day,777,4.32 Per Day,0%,0%,$0.00,0
Little Debbie Strawberry Shortcake Roll Protein is now LIVE! Grab yourself a sweet treat while you can 😏🍓,#gym #protein #rysesupps,Pop Fashion Upbeat,"Jul 17, 2024",5s,33 Days (2024-07-26 - 2024-09-04),07/17/2024,160.91k,160.91k Per Day,39,39 Per Day,$1.67k,$1.67k Per Day,67,67 Per Day,>90%,>90%,$2.25k,0.74,710.74k,101.53k Per Day,348,49.71 Per Day,$11.12k,$1.59k Per Day,533,76.14 Per Day,>90%,>90%,$11.27k,0.99,2.91m,96.89k Per Day,2.2k,73.17 Per Day,$70.25k,$2.34k Per Day,3k,100.07 Per Day,>90%,>90%,$55.74k,1.25,3.86m,42.87k Per Day,3.3k,36.69 Per Day,$99.74k,$1.11k Per Day,5.25k,58.37 Per Day,>90%,>90%,$72.69k,1.36,3.86m,21.43k Per Day,3.3k,18.34 Per Day,$99.74k,$554.09 Per Day,5.25k,29.18 Per Day,>90%,>90%,$72.69k,1.36
These are an amazing deal! So glad I got one.,#dresser #fabricdresser #tiktokdresser #tiktokshopbacktoschool,Chill Vibes,"Aug 5, 2024",34s,21 Days (2024-08-15 - 2024-09-04),08/05/2024,81.83k,81.83k Per Day,15,15 Per Day,$929.85,$929.85 Per Day,13,13 Per Day,>90%,>90%,$766.39,1.21,975.18k,139.31k Per Day,241,34.43 Per Day,$14.94k,$2.13k Per Day,126,18 Per Day,>90%,>90%,$11.53k,1.3,3.51m,116.97k Per Day,1.13k,37.73 Per Day,$70.17k,$2.34k Per Day,600,20 Per Day,71.86%,48.94%,$36.34k,0.94,3.51m,39k Per Day,1.13k,12.58 Per Day,$70.17k,$779.70 Per Day,600,6.67 Per Day,71.85%,48.94%,$36.34k,0.94,3.51m,19.5k Per Day,1.13k,6.29 Per Day,$70.17k,$389.85 Per Day,600,3.33 Per Day,71.85%,48.94%,$36.34k,0.94
,#cleaninghack #cleaningproducts #deepcleaning #housecleaning #limpiezadecasas #productosdelimpieza #steamer,original sound - Just A Cleaning Lady,"Aug 11, 2024",53s,No record of Advertising placement was found,08/11/2024,15.4k,15.4k Per Day,4,4 Per Day,$359.96,$359.96 Per Day,98,98 Per Day,0%,0%,$0.00,0,214.23k,30.6k Per Day,42,6 Per Day,$3.92k,$559.65 Per Day,840,120 Per Day,0%,0%,$0.00,0,2.21m,73.67k Per Day,759,25.3 Per Day,$70.06k,$2.34k Per Day,4.98k,166.07 Per Day,0%,0%,$0.00,0,2.21m,24.56k Per Day,759,8.43 Per Day,$70.06k,$778.44 Per Day,4.98k,55.36 Per Day,0%,0%,$0.00,0,2.21m,12.28k Per Day,759,4.22 Per Day,$70.06k,$389.22 Per Day,4.98k,27.68 Per Day,0%,0%,$0.00,0
Yo no creia per so funcionan 🙌🏻,#fyp #guthealth #limpiezade15dias #tiktokshop,original sound - The LB's Shop,"Jun 13, 2024",1m 41s,34 Days (2024-07-17 - 2024-09-04),06/13/2024,77.47k,77.47k Per Day,73,73 Per Day,$1.28k,$1.28k Per Day,68,68 Per Day,>90%,>90%,$1.47k,0.87,1.14m,162.34k Per Day,1.15k,164.71 Per Day,$20.18k,$2.88k Per Day,739,105.57 Per Day,>90%,>90%,$22.51k,0.9,3.2m,106.51k Per Day,3.99k,133.13 Per Day,$69.90k,$2.33k Per Day,4.7k,156.7 Per Day,>90%,>90%,$59.89k,1.16,7.88m,87.55k Per Day,14.01k,155.64 Per Day,$241.52k,$2.68k Per Day,18.84k,209.3 Per Day,51.22%,36.16%,$73.89k,1.18,7.88m,43.78k Per Day,14.01k,77.82 Per Day,$241.52k,$1.34k Per Day,18.84k,104.65 Per Day,51.22%,36.16%,$73.89k,1.18
,#fypage #goldplatedjewelry #necklace #tiktokshopbacktoschool,original sound - thicknessss35,"Aug 10, 2024",16s,6 Days (2024-08-20 - 2024-09-04),08/11/2024,25.22k,25.22k Per Day,18,18 Per Day,$251.82,$251.82 Per Day,160,160 Per Day,>90%,>90%,$312.29,0.81,106.49k,15.21k Per Day,98,14 Per Day,$1.34k,$191.06 Per Day,1.18k,168.29 Per Day,47.18%,33.73%,$754.90,0.6,3.57m,118.91k Per Day,5.63k,187.57 Per Day,$69.69k,$2.32k Per Day,6.54k,217.97 Per Day,10.18%,13.29%,$6.32k,1.47,3.57m,39.64k Per Day,5.63k,62.52 Per Day,$69.69k,$774.39 Per Day,6.54k,72.66 Per Day,10.18%,13.29%,$6.32k,1.47,3.57m,19.82k Per Day,5.63k,31.26 Per Day,$69.69k,$387.19 Per Day,6.54k,36.33 Per Day,10.18%,13.29%,$6.32k,1.47
I love the ways to wear this oversized sweater 🥰,#oversizedsweater #sweater #sweaterstyle #viralsweater,original sound - janelmcqueen,"May 3, 2024",44s,1 Days (2024-08-20 - 2024-08-20),05/03/2024,40.36k,40.36k Per Day,112,112 Per Day,$1.27k,$1.27k Per Day,158,158 Per Day,0%,0%,$0.00,0,323.83k,46.26k Per Day,1.27k,181.71 Per Day,$10.55k,$1.51k Per Day,1.58k,225.57 Per Day,0%,0%,$0.00,0,2.46m,82.01k Per Day,6.62k,220.53 Per Day,$69.67k,$2.32k Per Day,4.52k,150.73 Per Day,50.12%,51.18%,$23.24k,1.53,2.46m,27.34k Per Day,6.62k,73.51 Per Day,$69.67k,$774.08 Per Day,4.6k,51.16 Per Day,50.12%,51.18%,$23.24k,1.53,2.48m,13.75k Per Day,6.77k,37.58 Per Day,$70.61k,$392.30 Per Day,7.38k,40.98 Per Day,49.82%,50.50%,$23.24k,1.53
"If you’re like me, then you’re not a fan of oily sunscreen! I put a few verified sunscreens from TikTok Shop to the test and the Beauty of Joseon, Relief Sun: Rice + Probiotics, SPF 50+ PA ++++, 50 came on top!",#glowingskin #iherb #skincare #skinmusthave #sunscreen #supplements #vitamins,original sound - iHerb,"May 17, 2024",39s,86 Days (2024-05-22 - 2024-08-28),05/23/2024,225,225 Per Day,4,4 Per Day,$71.92,$71.92 Per Day,109,109 Per Day,0%,0%,$0.00,0,2.63k,375.57 Per Day,48,6.86 Per Day,$863.04,$123.29 Per Day,1.11k,158.86 Per Day,0%,0%,$0.00,0,1.87m,62.44k Per Day,3.85k,128.4 Per Day,$69.26k,$2.31k Per Day,5.21k,173.73 Per Day,>90%,>90%,$24.37k,2.81,5.94m,66.01k Per Day,11.72k,130.27 Per Day,$210.80k,$2.34k Per Day,13.95k,155 Per Day,>90%,>90%,$116.18k,1.8,6.51m,36.15k Per Day,13.77k,76.5 Per Day,$247.58k,$1.38k Per Day,15.72k,87.33 Per Day,>90%,>90%,$136.75k,1.79
,#fashion #foryoupage #fypage #fypシ゚viral #paratii #summer #tiktokshop #tiktokshopbacktoschool,original sound - bichotarecords,"Aug 10, 2024",42s,7 Days (2024-08-12 - 2024-08-19),08/10/2024,8.31k,8.31k Per Day,6,6 Per Day,$185.88,$185.88 Per Day,0,0 Per Day,0%,0%,$0.00,0,84.24k,12.03k Per Day,87,12.43 Per Day,$2.46k,$352.04 Per Day,0,0 Per Day,0%,0%,$0.00,0,2.63m,87.79k Per Day,2.9k,96.73 Per Day,$68.99k,$2.30k Per Day,472,15.73 Per Day,67.48%,63.23%,$44.42k,0.98,2.63m,29.26k Per Day,2.9k,32.24 Per Day,$68.99k,$766.52 Per Day,472,5.24 Per Day,67.48%,63.23%,$44.42k,0.98,2.63m,14.63k Per Day,2.9k,16.12 Per Day,$68.99k,$383.26 Per Day,472,2.62 Per Day,67.48%,63.23%,$44.42k,0.98
